Category
4100:Construction of buildings
4100:Construction of buildings
3821:Treatment and disposal of non-hazardous waste
2011:Manufacture of basic chemicals
3530:Steam and air conditioning supply
259:Manufacture of other fabricated metal products; metalworking service activit
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
2410:Manufacture of basic iron and steel
3821:Treatment and disposal of non-hazardous waste
"3510:Electric power generation, transmission and distribution"
1910:Manufacture of coke oven products
3530:Steam and air conditioning supply
"3510:Electric power generation, transmission and distribution"
0710:Mining of iron ores
3530:Steam and air conditioning supply
3821:Treatment and disposal of non-hazardous waste
2410:Manufacture of basic iron and steel
3530:Steam and air conditioning supply
3822:Treatment and disposal of hazardous waste
3821:Treatment and disposal of non-hazardous waste
"3510:Electric power generation, transmission and distribution"
3821:Treatment and disposal of non-hazardous waste
3821:Treatment and disposal of non-hazardous waste
0510:Mining of hard coal
4100:Construction of buildings
"3510:Electric power generation, transmission and distribution"
"2394:Manufacture of cement, lime and plaster"
3821:Treatment and disposal of non-hazardous waste
4923:Freight transport by road
