Category
"3510:Electric power generation, transmission and distribution"
"2395:Manufacture of articles of concrete, cement and plaster"
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
3530:Steam and air conditioning supply
"2395:Manufacture of articles of concrete, cement and plaster"
"3510:Electric power generation, transmission and distribution"
"2394:Manufacture of cement, lime and plaster"
0510:Mining of hard coal
2410:Manufacture of basic iron and steel
4220:Construction of utility projects
2011:Manufacture of basic chemicals
"3510:Electric power generation, transmission and distribution"
"2395:Manufacture of articles of concrete, cement and plaster"
3822:Treatment and disposal of hazardous waste
0721:Mining of uranium and thorium ores
2410:Manufacture of basic iron and steel
"2394:Manufacture of cement, lime and plaster"
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
3822:Treatment and disposal of hazardous waste
