names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.4333197193934299,,0.23857162220125186,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,6.860651457849543,3.777249625167568
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.5356755698659265,,0.5697402079839282,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,8.481228097533878,9.020565678321873
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.10035293418425754,,0.058726681496134504,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,1.5888649267438455,0.9298060415646753
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.018350040486826445,,0.006946929923010617,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.2905319706976917,0.10998914374494084
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.21458901344783513,,0.2858358414192758,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,3.3975384965406845,4.525573137737379
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.0004989550426681363,,0.0004857854789247973,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.00789984043577416,0.00769132976189701
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",0.0004094604205465924,0.0004096238168250554,0.00034157885595527854,0.00021143970253324643,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.006485479682310808,0.0033476761811407777
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.007352322635998678,,0.004261227483054907,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.11640763333331312,0.06746703469847315
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.0063720801183912565,,0.004752671050785406,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.10088767899824755,0.07524794767912564
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.00017077850165966296,,7.049766484711649e-05,10,_anode_production__graphite__for_Li_ion_battery___kilogram__CN__None_,127,166.39785957336426,610,6.316014186927565,0.002703896739388713,0.001116173313749477
