names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,6.986807457033319,,0.6526576375558902,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,5.93050339949381,0.5539852589374638,74
Manufacture of chemicals and chemical products,,0.6868034711860785,,0.07380190341746654,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.5829687372525176,0.0626441249165673,21
"Wholesale trade, except of motor vehicles and motorcycles",,4.809955463213182,,0.4938543362889282,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,4.082759887319386,0.41919071596397667,14
Manufacture of coke and refined petroleum products,,1.8207748647441777,,0.26797943768941357,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,1.5455000859095143,0.2274648293923821,12
Forestry and logging,,91.03956886548417,,3.5621894435719583,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,77.27570510071808,3.0236380113034675,11
Manufacture of rubber and plastic products,,0.03889810104433198,,0.004308858073398651,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.033017271750496506,0.003657421162580234,8
Manufacture of basic metals,,1.3042210926102198,,0.12009007438370711,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,1.1070417599142883,0.10193419508950455,8
Civil engineering,,1.1268185927033747,,0.11075281482874107,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.9564599476565089,0.09400859389422059,6
Land transport and transport via pipelines,,40.436131677123,,4.23348078820438,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,34.32277443571946,3.593439830786234,6
Mining of coal and lignite,,0.10132890222351865,,0.011423477739500264,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.0860094403343864,0.009696413416967748,5
Manufacture of food products,,1.1652029294511959,,0.090292737513675,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.9890411288283352,0.07664178382866493,4
"Crop and animal production, hunting and related service activities",,0.4727422263102755,,0.05215469158691678,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.4012704511264437,0.044269657874198114,4
Manufacture of machinery and equipment,,0.018953566843271853,,0.0015868668748689357,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.01608806214967387,0.0013469555950737949,2
"Waste collection, treatment, and disposal activities",,0.4398377370393523,,0.059674515986604296,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.3733406438890368,0.050652593777355155,2
Mining of metal ores,,0.1121620484076855,,0.013567858083842269,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.09520477177403287,0.011516594522592183,2
Manufacture of other non-metallic mineral products,,0.13842098225059346,,0.014461460886928111,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.11749373527848486,0.01227509752902082,2
Manufacture of electrical equipment,-0.000757677881166367,0.0007690572371445927,0.0006063655376412264,6.66498269846326e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.0006527869255506769,5.657333881587642e-05,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.12825218007035555,,0.012050520207020217,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.10886230865487392,0.010228656148447436,2
Sewerage,0.0036263564382056925,0.0036263564382056925,0.0010931133611435631,0.00010828556730498543,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.003078103886046815,9.191435844877461e-05,1
Unknown,,0.09013809837349494,,0.01072382112148932,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.07651052388595543,0.009102534742464516,1
Construction of buildings,,0.004298679576043617,,0.0005109877683694708,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.0774800777435,6600,117.8113726,0.003648781506551785,0.00043373382135560555,1
