names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.45952368323460135,,0.22642748592129291,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,4.872955926875,2.4011192453910235
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.002027556041455504,,0.0010906087197397351,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.021500940190361553,0.011565210714164833
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.0072649293764286416,0.0072649293764286416,0.017936830936781705,0.009144756123365645,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.07703994800442651,0.09697431313552289
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.004592772771261844,,0.004814513709678662,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.04870342947065174,0.05105485086526441
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,0.027823546931720688,,0.014692150863706782,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.29505099056753875,0.15580090045824802
"'market for chemical, organic' (kilogram, GLO, None)",,0.11323893773191744,,0.06483788901894694,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,1.2008267971948259,0.6875645088778534
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.0056656994320858104,,0.0038490668556307784,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.06008113321414982,0.04081690200395704
"'market for synthetic rubber' (kilogram, GLO, None)",-0.0015055328416576862,0.0015055328416576862,0.00053663522718395,0.000262253837084603,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.01596521670487073,0.0027810348767480005
"'market for carbon monoxide' (kilogram, RoW, None)",0.001981468772787709,0.002258166016819585,0.002201279848304869,0.0009865191742542737,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.023946412071890636,0.010461407393237516
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.030974604495698135,,0.013469160961431859,10,_building_operation__budget_hotel___guest_night__BR__None_,269,406.12879395484924,1510,9.430080840671412,0.3284659486916209,0.14283187163507782
