names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,3.651829426388444,,0.33402921726390783,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,18.19715334508236,1.6644755760951597,240
Manufacture of chemicals and chemical products,,0.17421546722354317,,0.016446239048929008,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.8681198385783446,0.08195200240204452,29
Land transport and transport via pipelines,,0.13787267750036933,,0.015590775505137463,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.6870228484501064,0.07768920710963195,26
Other mining and quarrying,,0.040929700470655875,,0.003249385871301153,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.2039536760536498,0.01619176748786117,22
Manufacture of other non-metallic mineral products,,0.020855861478111193,,0.002043368668721922,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.10392525639849429,0.010182154932149454,19
Civil engineering,,0.026278821112416487,,0.0021952729067293035,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.13094799391645098,0.010939097382093494,19
"Waste collection, treatment, and disposal activities",,0.727803173931808,,0.07786454449816359,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,3.62666061710682,0.38800088693610163,16
Mining of metal ores,,0.10538290219035139,,0.00704275625669448,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.5251255212662438,0.03509422281583738,13
Manufacture of basic metals,,5.053032034565305,,0.4060897510735919,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,25.179379443671085,2.0235549389996175,7
Manufacture of wood and products of wood and cork,,0.0013529931154967355,,0.0001620665833309672,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.00674199704389915,0.0008075816596679886,6
Manufacture of food products,0.0004395998708465478,0.0004395998708465478,0.0006609035981262024,7.587887594910873e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0021905366670382184,0.0003781062530798338,6
Mining of coal and lignite,,0.2551519251950054,,0.03936254356818991,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,1.2714281437997859,0.19614449573873552,5
Specialized construction activities,,4.907863169329811e-05,,5.081999536982042e-06,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.00024455999517288706,2.5323725200811974e-05,5
Manufacture of electrical equipment,,0.0044391782827479815,,0.000899719683086948,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.02212053152143361,0.0044833246926633905,3
Manufacture of coke and refined petroleum products,,0.033143644361238775,,0.0029966996315913394,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.16515557229977326,0.014932625913787387,3
Construction of buildings,,0.0017872262876239523,,0.00013410857602407566,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0089057913229039,0.0006682662407959786,2
Manufacture of rubber and plastic products,0.0003323607912947562,0.00033463172785553333,0.00020796772084400472,2.3560008314433155e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.001667477900778952,0.00011740008473866549,2
Manufacture of machinery and equipment,,0.0005176233674901324,,3.722213037876462e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.002579329616315418,0.0001854787656396359,2
"Wholesale trade, except of motor vehicles and motorcycles",,0.22946240863221223,,0.021890194414401605,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,1.1434166685440807,0.10907936215040513,2
Water transport,2.1762369802449147e-05,8.951917348671299e-05,0.00010914477077015545,7.547188697446779e-06,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.00044607618184230917,3.760782172882981e-05,1
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.0006903381922293722,,5.2197888070049887e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0034399717175148782,0.0002601033242780785,1
Manufacture of other transport equipment,-0.000504495728698214,0.0005054088184177223,0.0003492033051214255,4.372435452115293e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0025184642262439274,0.00021787950400603705,1
Unknown,0.0014996668519668065,0.001501665521149978,0.0009597065666561365,0.0001001563853100996,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0074828351959510455,0.0004990816626885824,1
Manufacture of fabricated metal products,0.00022100041669106203,0.0003357663987795282,0.0004067366498684628,3.862599442632309e-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.0016731319931226247,0.00019247425375429686,1
Extraction of crude petroleum and natural gas,,0.01117426695180617,,0.0011156910288907908,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.05568163939190344,0.005559515072569239,1
Forestry and logging,,0.004234861457292258,,0.00047476042504388053,300,_chromium_production___kilogram__RoW__None_,0,434,2512.8942675590515,8100,20.068135697583287,0.02110241589507611,0.0023657425492745387,1
