names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.12271378672597172,,0.05479865464052956,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,7.065300453164845,3.1550567364458577
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.00011224426723148717,0.00011224426723148717,0.00019897058218582925,0.0001067312484819203,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.00646251324561187,0.0061450987569154885
"'market for ammonia, anhydrous, liquid' (kilogram, RAF, None)",0.0016767859601059254,0.0016767859601059254,0.001258021435451595,0.0006752568287826855,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.09654169201258533,0.038878210066605585
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-3.397757947607438e-05,4.938652036854396e-05,6.190571139426325e-05,3.397293883984065e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.002843450716090234,0.001956006953941279
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.0009173424358565831,,0.0005815152983332202,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.05281639578312456,0.033481000060822275
"'market group for natural gas, high pressure' (cubic meter, GLO, None)",,0.0018390589100241556,,0.0013025796624629798,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.10588462875329481,0.07499659920066025
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",0.019388915180607497,0.019388915180607497,0.039743065793528785,0.021875524401168498,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,1.1163253524058028,1.2594929762043046
"'market for natural gas, high pressure' (cubic meter, IR, None)",-9.583059073773326e-05,9.583059073773326e-05,6.433839463920114e-05,4.2573370855430424e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.005517488574273317,0.002451180624629573
"'market for electricity, high voltage' (kilowatt hour, NO, None)",,0.005912594657005946,,0.005433911122448703,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.3404202479938862,0.3128598321362762
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.002446613476089099,,0.001817989823761978,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.140864851151016,0.10467156680901347
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.0007742057071597197,0.0007742057071597197,0.0011399546380099867,0.0006758285030475258,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.044575235428544406,0.03891112446481789
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.00262856413700121,0.00262856413700121,0.0009802062075579118,0.0005840401585586966,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.15134074079059393,0.03362637000311794
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.0017552635608667595,,0.0006837912635652022,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.10106007452698834,0.03936958391745961
"'market for ammonia, anhydrous, liquid' (kilogram, RER, None)",,0.11729049934768607,,0.05902189573206432,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,6.753052287789511,3.3982117069992173
"'market for melamine' (kilogram, GLO, None)",-0.16175306522928729,0.16175306522928729,0.07721384787776032,0.045944771033700295,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,9.313004150196365,2.645290478484232
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.0001295638831714019,,9.817291454599698e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.007459697780566995,0.005652348901751761
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.008549064687008417,0.008549064687008417,0.012584405442235335,0.007447004359554017,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.49221617406475526,0.42876456411349434
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,0.0002745510165462761,,0.00013521478207343407,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.015807396001501828,0.007785050779920464
"'market for natural gas, high pressure' (cubic meter, RoE, None)",,0.0053011140213064635,,0.004092670794873919,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.30521398040345976,0.23563732807177173
"'market for electricity, high voltage' (kilowatt hour, XK, None)",,0.045527662665910594,,0.04311094171626655,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,2.621275280040847,2.4821315042984984
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.0024822338010341005,,0.002655750998518106,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.14291570708734033,0.1529060363463768
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.0068198600751651905,,0.009613332578397313,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.3926564550337317,0.553491867822866
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.000781053499011325,0.000781053499011325,0.0007187898526423828,0.0003792577035389713,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.044969500067939525,0.02183592973676067
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.0003104600508746449,,0.0002135942529062167,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.017874874508048803,0.012297783420388125
"'market for natural gas, high pressure' (cubic meter, ES, None)",,9.902084022026525e-05,,6.275574113748459e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.005701168596836517,0.00361318950483927
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.011741124564283084,0.011741124564283084,0.014458454035592446,0.007883686618206069,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.6760004309046173,0.45390673796583464
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.003654219646770307,,0.0017523088222728177,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.2103933096282315,0.10088995414782201
"'market for electricity, medium voltage' (kilowatt hour, CH, None)",0.22866262640782292,0.22866262640782292,0.1687069011413107,0.09998100165886772,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,13.16535167795558,5.756450315608819
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",4.251378232712488e-05,0.00042578515174025445,0.0005276584647550614,0.0001639621999048362,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.024514768110440777,0.009440196054551106
"'market for electricity, high voltage' (kilowatt hour, RS, None)",,0.01126967557524064,,0.006855365514127334,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.6488565471993258,0.3947006963588668
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.007255220482121738,,0.005028497223830777,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.4177225226910597,0.2895179479189723
"'market for electricity, high voltage' (kilowatt hour, LT, None)",,0.009669078879674732,,0.015203224070317586,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.5567014857328498,0.8753323386022416
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,7.870391841158231e-05,,4.369288041172565e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.004531412853071976,0.0025156368816357877
"'market for electricity, high voltage' (kilowatt hour, HU, None)",,0.006286174463420152,,0.007301780414240674,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.3619292702966989,0.42040323134064145
"'market for electricity, high voltage' (kilowatt hour, RO, None)",,0.019667551896370643,,0.01744905613943422,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,1.1323679843436945,1.0046371115948234
"'market for electricity, high voltage' (kilowatt hour, AT, None)",,0.002654818456149982,,0.0023065546756859713,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.1528523448077821,0.13280090387696036
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.0002963581567951179,,0.0001063756380488974,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.017062951729941933,0.0061246243292197855
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.0002502219788089177,,0.00013035250798189578,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.014406640911654675,0.007505103202236542
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.036164810267795014,,0.042551342895358675,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,2.082204919193438,2.4499123551023296
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.0025076270854361704,,0.003718956577901926,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.14437773664881026,0.2141205670217475
"'market for electricity, high voltage' (kilowatt hour, DK, None)",,0.0017358693937735597,,0.0015664874765703165,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.09994344679339615,0.09019120812239503
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.0015481994510115388,,0.0011084530115840865,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.08913826697604724,0.06381967156262057
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.0001571285757856254,,0.00011695772181943755,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.009046747128604142,0.006733892474667717
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.0002735743426228843,0.0003582504791962204,0.0004440112796492061,0.00021999789017245543,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.02062642951980452,0.012666475663421028
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.003246758049556388,,0.002692664999616226,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.1869335282601329,0.1550313762584201
"'market for electricity, medium voltage' (kilowatt hour, BE, None)",-0.0027597588923544024,0.0027597588923544024,0.003090642698491561,0.001829558145215914,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.15889433675711445,0.10533761802454127
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.35451744831221876,0.35451744831221876,0.17977044939179943,0.10287236081837534,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,20.41149861839478,5.9229215958533885
"'market for cumene' (kilogram, GLO, None)",-0.004945130180658092,0.004945130180658092,0.0014110737239060455,0.000783682704663977,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.2847180535988476,0.04512087774427697
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.013813662828693785,0.013813662828693785,0.01768138570955534,0.011395467958248372,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.7953277365759959,0.6560990991927208
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",-0.029900065959290695,0.029900065959290695,0.028341898614212855,0.0146565357635989,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,1.7215094995281792,0.8438565179609575
"'market for electricity, high voltage' (kilowatt hour, MK, None)",,0.005274777685996074,,0.005753231194360515,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.3036976542695534,0.33124482626754825
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.0965219052805083,,0.059901061077266796,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,5.5572913143130735,3.448830039931415
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.001037680107318223,0.001037680107318223,0.0013162438665747205,0.0007528820860648166,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.05974489035080773,0.0433475185288829
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",,0.00015518625750787773,,7.068432975151063e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.008934917296161554,0.0040696814950402374
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.0004218100194750776,,0.00014842555063981458,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.024285898115113672,0.008545666613144926
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.002434821932030262,,0.00145259795908413,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.1401859477954505,0.08363396886693347
"'market for electricity, medium voltage' (kilowatt hour, LT, None)",0.00975219138224621,0.00975219138224621,0.0259720290840351,0.015526265254791703,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.5614867247654715,0.8939315774322891
"'market for natural gas, high pressure' (cubic meter, NL, None)",,0.002082682673722802,,0.001346199601334831,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.11991137451663351,0.07750803644093153
"'market for electricity, high voltage' (kilowatt hour, LV, None)",,0.009965251096141393,,0.01199298302711567,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.5737537318662816,0.6905012931064992
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.007484303829922843,,0.007891126314998703,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.4309120975889967,0.45433508179355614
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.0004094428667701766,,0.00014437375871179564,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.02357385383759972,0.008312382903881777
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.00013516974999614457,,7.785666424588999e-05,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.0077824580381872874,0.004482631820389975
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",0.0018957785106675507,0.0018957785106675507,0.004805636861114787,0.0025388894906305574,10,_cork_slab_production___kilogram__RER__None_,216,375.1326034069061,1440,1.736851639069405,0.10915028480402032,0.14617768343131943
