names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, ES, None)",,0.0030905529057322577,,0.002204260441255718,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.05697096250744944,0.04063313031222145
other,,0.1354827610426126,,0.0560338114123254,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,2.49747651478421,1.032922026087988
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.011304294583142886,,0.013256881474874704,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.20838230650408734,0.24437611020020428
"'market for electricity, high voltage' (kilowatt hour, BG, None)",,0.011317623273638222,,0.00806287530055438,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.20862800633503822,0.14863028735024617
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.0003974084094961025,,0.0001856741251357038,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.007325789361364516,0.003422699414751924
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.004165470761053202,,0.002374955766242377,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.07678589747280569,0.043779711929373126
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.0006190237787425219,,0.00025851659119217305,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.011411026300358406,0.0047654706046435956
"'market for electricity, high voltage' (kilowatt hour, HR, None)",,0.012234087122511424,,0.010326176067944098,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.2255220150014963,0.19035176149905714
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.00035574199792605084,,0.00022763794104864324,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.006557714636943987,0.004196256462945906
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.044551052571208845,,0.05082024406858239,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.8212499261844479,0.9368156144748625
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",0.04249433320582148,0.04249433320582148,0.07588427246491614,0.05026265407974655,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.7833365542319732,0.9265370528978784
"'market group for heavy fuel oil' (kilogram, RER, None)",0.10762606142852474,0.10762606142852474,0.07977781810768364,0.044699865477344884,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,1.9839687258212966,0.8239931293441078
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.019076335317588382,,0.015616977079931052,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.35165137673006824,0.2878818913114983
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.02729047953857831,,0.017156423543991276,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.5030701411773062,0.3162599030981694
"'market for brazing solder, cadmium free' (kilogram, GLO, None)",-1.2412410256279482e-05,1.2412410256279482e-05,4.322486178159876e-06,2.5467929228177932e-06,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.0002288092069305741,4.6947341962978784e-05
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.0036584223627635806,,0.0035209728814003883,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.06743901483739065,0.06490528398460803
"'market for electricity, high voltage' (kilowatt hour, EE, None)",,0.012987681061268963,,0.01932996062123848,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.23941369501485774,0.3563266817987471
"'market group for diesel, low-sulfur' (kilogram, RER, None)",-0.00042162910282007583,0.000857887439278493,0.0009780563989606847,0.00034497532333906925,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.015814216623859005,0.006359242767044221
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.02002842585194178,,0.021064423809329495,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.3692021243764649,0.38829961359228066
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.021197251015232472,,0.019647821404819032,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.3907481378525941,0.3621860976820243
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.0020590862277343413,,0.0011263059017980368,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.03795700247107219,0.020762217396194903
"'market for natural gas, high pressure' (cubic meter, GR, None)",,0.0037534552951494324,,0.0031609112569825314,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.06919084300311641,0.058267941757903514
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.02845510004557221,,0.013518191279544378,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.5245386464134706,0.24919307064021254
"'market for electricity, high voltage' (kilowatt hour, SI, None)",,0.01749286714595427,,0.021723122840228346,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.3224618729132642,0.4004420097711095
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.019378127147130057,,0.016852439381701667,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.3572145790211481,0.3106562875507577
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-1.8325979364763971,1.8325979364763971,0.32500195122246756,0.20916975961103673,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,33.78193854458186,3.855815737821558
"'market for electricity, high voltage' (kilowatt hour, LV, None)",,0.009459938710417627,,0.007535375139050647,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.174383623265067,0.1389063988292107
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.012181240481622403,,0.005393693874700289,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.22454784497801963,0.09942684719691079
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.001047387378354628,,0.00039021684431864764,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.019307440734097136,0.007193220723133234
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.006852665097661437,0.006852665097661437,0.004046851364948042,0.0020859804792829908,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.12632138593417064,0.03845276858263177
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.11777326794482526,0.11777326794482526,0.24427481222515054,0.13425027738149775,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,2.1710213793847637,2.474757026527535
"'market for electricity, high voltage' (kilowatt hour, BA, None)",,0.0358006069085524,,0.038632207448962445,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.6599450312428234,0.7121424901261725
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.03758752613657722,0.03758752613657722,0.052600879923261484,0.028082454109711844,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.6928849327584463,0.5176693261694854
"'market for electricity, high voltage' (kilowatt hour, LU, None)",,0.006651711731154419,,0.005165209690626966,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.12261703041649524,0.09521499116938802
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.004208267194241044,,0.002017961663153212,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.07757480290978265,0.03719891610324424
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.04016939165229918,0.04016939165229918,0.06628967011752888,0.03909836114186232,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.7404787996107665,0.7207355235965429
"'market for electricity, high voltage' (kilowatt hour, DK, None)",,0.007057123536330645,,0.010300623984036804,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.13009035362346352,0.1898807367799625
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.062407506247785315,0.062407506247785315,0.07617921612402945,0.04376867182836643,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,1.1504141191149075,0.8068275929235117
"'market for diesel' (kilogram, RoW, None)",,0.00237148472034292,,0.0007333188846990339,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.04371572699469272,0.013517931567747967
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.8045746665873862,0.8045746665873862,0.08641862719024213,0.05233365095957826,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,14.831453970445189,0.9647136152130226
"'market group for electricity, high voltage' (kilowatt hour, RER, None)",-0.0024181194814380303,0.0024181194814380303,0.0012633954234070488,0.0007433712937323628,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.04457538780844731,0.013703236733398136
"'market for electricity, high voltage' (kilowatt hour, PT, None)",,0.0135660316529769,,0.010963893168923157,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.25007495559876197,0.2021073787489192
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.00047535220556731427,,0.0004482219958060199,10,_dipropyl_amine_production___kilogram__RER__None_,178,344.0912780761719,1270,5.42478618880301,0.008762597990469403,0.008262482247340351
