names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.011224633421946482,,0.008996507068437644,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,2.7437542278932425,2.199110062430591
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,6.644597776827163e-05,,5.691356667353346e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.016242083422674553,0.013911976749251556
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,2.158421051857498e-05,,1.5025020727783614e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.005276053715062719,0.003672722537685423
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.000212250875457897,,7.539469779158778e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.051882695409277625,0.01842951239921469
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.010112682262019947,,0.010106791157744524,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,2.4719484074649296,2.4705083833986605
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.024352019766189503,,0.01415549436646896,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,5.952618199591555,3.460175139437473
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.0033117494424900517,0.0033117494424900517,0.001565965432845792,0.0008877653580676864,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.8095254600287376,0.21700574646944462
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.0008802764184197481,,0.0009452339900952277,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.21517514683656105,0.23105340363288576
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,4.0654947900796315e-05,,2.194399926288911e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.009937712974170858,0.005364000630676922
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.0002492443755890042,0.0002492443755890042,0.0002363557384971571,0.0001282388995988803,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.060925402513710904,0.03134677184796552
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.00013191959409638923,,2.8851326642264074e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.03224648239614058,0.0070524307101437235
"'market for electricity, high voltage' (kilowatt hour, BE, None)",,0.04837952983333404,,0.03813260041806519,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,11.825913108588503,9.321149269165758
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.0002307413161255066,0.0002307413161255066,8.614969556461633e-05,5.2608824349831e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.0564025066895435,0.012859723681676417
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,7.552436955807485e-05,,2.886001804663428e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.01846120942166191,0.007054555240771197
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.00033843843427900554,,0.00014612078146908437,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.0827280366340518,0.035717826753699077
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.0004148201316710635,,0.00019706538901353114,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.10139881164068706,0.048170748562721355
"'market for natural gas, high pressure' (cubic meter, BE, None)",,0.0050898466909035,,0.005336566199583589,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,1.2441643172230354,1.3044725401821198
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.00015456743271892448,,0.00011203584342094643,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.03778252982301941,0.027386089817488274
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.00028926108364813065,,0.00022442473185609727,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.07070710386610642,0.054858478110298335
"'market for electricity, high voltage' (kilowatt hour, QA, None)",-6.846578111933538e-05,6.846578111933538e-05,6.24669847600007e-05,3.307265021853243e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.016735805023698837,0.008084292863169227
"'market for natural gas, high pressure' (cubic meter, NL, None)",,0.005915116400449523,,0.0037006833711336643,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,1.4458936004521767,0.9045966370527073
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.00911641372760987,,0.00871240422074043,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,2.2284200978401305,2.129663839981879
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.6332515262478076,,0.3723335973044973,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,154.7922758052058,91.01338488199453
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.00014869365771854812,,0.00014732039842524353,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.036346741732206055,0.03601106163911445
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",2.682198487410081e-05,7.51177487324478e-05,8.412218589862205e-05,2.407288619233947e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.01836181485192191,0.005884386668582218
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-1.3603970959909229e-05,1.3603970959909229e-05,2.659462033056541e-05,1.6637013513152782e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.003325360520407542,0.004066758748395196
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.04770596308930189,,0.04363621085679378,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,11.66126616358511,10.666454175107209
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.0001975354578475766,0.0001975354578475766,0.00015615187854850222,9.51315995981108e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.04828565239096499,0.023254009177103272
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,4.2349516156399425e-05,,2.952683598406978e-05,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,0.010351933968388275,0.007217552504583526
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.047129403814362564,,0.06676839708738051,10,_electricity__high_voltage__import_from_GB___kilowatt_hour__BE__None_,78,82.22464179992676,310,0.4090976264504994,11.520331766106004,16.320895739897296
