names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, CN, None)",-1.1931212864315332e-06,1.1931212864315332e-06,7.373729665779703e-07,4.49245052357083e-07,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.0031862911649126495,0.0011997317938122597
"'cement, all types to generic market for cement, unspecified' (kilogram, IN, None)",,6.790212997381979e-06,,5.626609147295475e-06,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.01813360965685427,0.01502614630911881
"'market for electricity, high voltage' (kilowatt hour, CL, None)",,7.567743628579884e-05,,9.18778314474927e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.20210044809599328,0.2453644285134283
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,1.178421772489403e-05,,5.622778799094302e-06,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.031470353642367575,0.015015917169155648
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,2.990168298883247e-05,,1.829651210504441e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.07985396741038121,0.048861767476617524
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,4.543243056136777e-05,,5.193809811742255e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.12132961983366694,0.13870333639664414
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,9.514728598755248e-06,,6.1423426003501405e-06,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.02540956733864732,0.01640343876346165
"'market for natural gas, high pressure' (cubic meter, DE, None)",,6.348735512918014e-05,,2.4091985227155268e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.1695462154872775,0.06433887363126513
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,3.3495029547855885e-05,,1.4608930919034638e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.08945018241692874,0.03901389409903085
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-5.458392170336682e-05,5.458392170336682e-05,6.09175447730997e-05,3.9298553786427416e-05,10,_electricity_production__wind___3MW_turbine__onshore___kilowatt_hour__CY__None_,318,429.37211322784424,1930,0.037445456949137354,0.1457691430431971,0.1049487894881538
