names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Manufacture of chemicals and chemical products,,0.0015023680738423817,,0.00013363624823899153,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0012752317884821773,0.00011343238372471991,88
"Waste collection, treatment, and disposal activities",,0.20844086136584175,,0.04050263401450834,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.1769276231706019,0.034379222583226524,18
Mining of metal ores,,0.0013094184885217937,,0.00013030347906546974,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0011114533848676962,0.00011060348096264329,10
"Electricity, gas, steam and air conditioning supply",,4.7459277594808205,,0.39074758869782483,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,4.028412244711272,0.33167221472286357,8
Manufacture of basic metals,,0.01726569084656751,,0.0015353433991159963,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.01465536854849233,0.0013032217223449922,8
Construction of buildings,,2.3075274400917365e-05,,1.6319073223452147e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,1.9586627242909625e-05,1.3851865794705245e-06,7
"Wholesale trade, except of motor vehicles and motorcycles",,0.009897452536723247,,0.0016487649934846592,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.008401101114684107,0.0013994956149799235,5
Forestry and logging,,0.012750441881372547,,0.002296406604282737,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.010822759806613565,0.001949223197729501,4
Manufacture of coke and refined petroleum products,,0.0011399244879048145,,0.00011481423690577796,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0009675844213912627,9.745598779805572e-05,4
Manufacture of other non-metallic mineral products,,0.0021517240540583128,,0.0002986765971048481,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0018264145528326633,0.0002535210230670448,4
Civil engineering,,0.0014890103532040361,,0.0001143424960928925,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0012638935616679473,9.705556736115347e-05,3
Land transport and transport via pipelines,,0.02281332311055684,,0.003362328715516945,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.0193642791923102,0.0028539933296023285,2
Mining of coal and lignite,,0.004371107787975925,,0.0011627392319264835,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.003710259622232705,0.000986949906673512,2
Manufacture of rubber and plastic products,0.00022188705328250394,0.0002246002493153848,0.0002272628839140528,2.372866352744203e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.00019064394579117636,2.0141233400282133e-05,1
Other mining and quarrying,,0.00035637682960933245,,3.0582649372227214e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,165,1204.599905014038,4800,117.8113726,0.00030249781641991706,2.59589958908833e-05,1
