names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0022305237175924406,,0.0009337466426676967,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,2.629304453271883,1.1006850931151764
"'market for electricity, low voltage' (kilowatt hour, CA-AB, None)",,3.5492679240703856e-06,,4.243254909917258e-06,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.004183818304647353,0.005001878681234356
"'market for electricity, high voltage' (kilowatt hour, GT, None)",,0.00012215741765797712,,0.00015242734362873122,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.14399714278536985,0.17967883069004711
"'market for electricity, high voltage' (kilowatt hour, TM, None)",-0.0005523673663221553,0.0005523673663221553,0.0011377878105838662,0.0006004336879512349,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.6511215122520725,0.7077812969093499
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,1.7100466780345305e-05,,1.570640924431702e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.020157747305695896,0.018514455347539663
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,4.123642106833298e-05,,5.233466994392498e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.048608810880070366,0.06169124302905932
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",4.169569574890564e-05,4.169569574890564e-05,5.0101754011681156e-05,3.072680692027485e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.04915019627462161,0.03622025160866991
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.0001993540065994016,0.0001993540065994016,0.0003669237880596624,0.00021082568213433373,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.23499520457696094,0.2485178258934667
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,4.729624336723224e-05,,4.692171017621635e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.05575202914350573,0.055310535614757635
"'market for electricity, low voltage' (kilowatt hour, HU, None)",,7.445780936448333e-05,,0.00012836732192349616,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.08776963374064256,0.15131727518788243
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,0.000111136629954386,,0.00011107203273518461,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.13100602058430533,0.130929874451101
"'market for electricity, low voltage' (kilowatt hour, FR, None)",,5.675566524780252e-06,,4.526150853363886e-06,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.006690263914589865,0.005335351738727609
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,3.4087798878422034e-05,,1.5257788440679703e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.0401821333197982,0.017985628566846566
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.0001834817859021647,,0.00013697639471673488,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.21628529343214495,0.16146550775554006
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,2.2746323328155454e-05,,1.2603844637653938e-05,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.026812989590998444,0.014857203522543145
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",9.871153744923748e-05,9.871153744923748e-05,0.00017440804217169772,0.00011500225836985473,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.11635952711802448,0.13556275940188528
"'market for electricity, low voltage' (kilowatt hour, SK, None)",,6.405457285304613e-05,,0.00010363716229773028,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.07550647066722463,0.1221657721927317
"'market for electricity, high voltage' (kilowatt hour, SY, None)",,0.0014748407206667832,,0.0014902028634224136,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,1.7385178396136811,1.756626479320402
"'market for electricity, low voltage' (kilowatt hour, PK, None)",,0.000218123078881089,,0.0003475523334395722,10,_energy_saving__from_ventilation_system__1_x_720_m3_h__steel_ducts__with_earth_tube_heat_exchanger___megajoule__RoW__None_,393,744.0082259178162,2850,0.08483322328141941,0.2571198764398044,0.40968894024765273
