names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, CN, None)",-0.0005698502974194719,0.000573814251901994,0.00032218923579496934,0.000183090649133319,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.0034582598320423495,0.0011034494793769275
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Africa, None)",0.23050929750897825,0.23050929750897825,0.35524156571250953,0.21746723904694165,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,1.3892318670114734,1.3106300777444604
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.005265504769769212,,0.003394391316461374,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.03173410834666824,0.02045729450783432
"'market for electricity, high voltage' (kilowatt hour, CL, None)",,0.006284115402939451,,0.005139630222380165,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.03787306398520041,0.03097548848027566
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.019491949740259744,,0.008634124712280398,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.11747395017027518,0.05203608411319723
"'market for natural gas, high pressure' (cubic meter, IT, None)",,0.002949801685443454,,0.0022319068155207352,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.017777844742347483,0.013451240821211278
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.039724006144030245,,0.05838997157703709,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.2394083701482666,0.35190428371139615
"'market for heat, district or industrial, natural gas' (megajoule, CA-QC, None)",,0.009953762473017136,,0.007680895256294504,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.05998926799748604,0.046291167308797905
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.008139015811792969,,0.0066735441697502755,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.04905216515794833,0.04022007062931855
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.020844704180733715,,0.009564031191352232,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.1256267214348465,0.0576404381589021
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.011786801734193246,,0.00783997615875175,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.07103661655404407,0.04724991501014796
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.020371534442734006,0.020371534442734006,0.050784905860505256,0.027084376827089633,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.12277502527491584,0.16323193811683226
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.021460229055798696,,0.02315056199754908,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.12933636256698008,0.13952364964787287
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.0023400426784288665,0.0033951371671706145,0.003715771005872162,0.001541450738225818,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.020461789595817785,0.009290004828929988
"'market for sheet rolling, aluminium' (kilogram, GLO, None)",0.08334548898317366,0.08707966752753966,0.0612772486852577,0.029151819356136158,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.5248111482067678,0.17569198669450128
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.0017305787193196975,,0.001342263526388235,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.010429840059519448,0.00808954469488634
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.05034885373488219,,0.04025862016212801,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.30344212937126147,0.24263037827773712
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,0.04331784758843981,,0.022115238627889323,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.26106770933117246,0.13328396980269433
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.011473714709007389,,0.014878837660115867,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.06914970579930943,0.08967167764987134
"'market group for electricity, high voltage' (kilowatt hour, RER, None)",-0.006079919442094827,0.006079919442094827,0.005034404207019377,0.002805632211524603,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.036642417156695244,0.016908965137130923
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CA, None)",0.15185871009951463,0.15185871009951463,0.2935797213135574,0.16530257469456247,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.9152210415516351,0.9962444332892301
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.030875284134859165,,0.024801094051832076,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.18607895250519974,0.14947106501078045
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.05168920664591092,0.05168920664591092,0.06737675694611017,0.04042377160835097,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.3115201591824893,0.24362571189098123
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.01749875095763686,,0.01361428441501821,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.10546135329877444,0.08205047674992061
"'market for ferromanganese, high-coal, 74.5% Mn' (kilogram, GLO, None)",0.008027848952368499,0.008027848952368499,0.005276412543958236,0.0031647933580947973,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.04838218548538418,0.019073555093370144
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.024478267992723058,,0.02280400258943158,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.1475254591126127,0.13743500776326206
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,0.0015325357080218538,,0.001100187315755671,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.009236275785509366,0.006630601434504224
"'market for cast iron' (kilogram, GLO, None)",0.0022498720192447143,0.0025254768231166127,0.002395918278011817,0.0010839779743995843,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.015220526547029377,0.006532911086225473
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.02199976382776782,,0.007936301008017324,10,_exhaust_air_outlet_production__steel_aluminium__85x365_mm___unit__RoW__None_,265,434.2512185573578,1630,16.592571980432012,0.13258802706242667,0.04783044495679621
