names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.0009723124844338754,,0.0009962915265713979,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.7996012754481615,0.8193209365490389
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",0.0010626814883012065,0.0010626814883012065,0.0003030225560063398,0.0001743321805316678,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.8739180942796819,0.14336567321352822
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,9.84682230550719e-06,,6.996992694541194e-06,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.008097737919285572,0.005754121614631079
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",1.7804499585982735e-05,1.7804499585982735e-05,4.210653151215539e-05,2.422245475868532e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.014641898366611221,0.019919836502775422
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,9.54454131224802e-06,,3.901785208367276e-06,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.007849150894411053,0.003208713740780338
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.002351164884007612,0.002351164884007612,0.0005989566063145581,0.0003374033256760763,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,1.9335290558734661,0.2774706011392263
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,2.328930306361617e-05,,2.3272936347860288e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.01915243991216356,0.01913898040505775
"'market group for electricity, high voltage' (kilowatt hour, Europe without Switzerland, None)",,3.50267947666249e-05,,1.3909556661150657e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.028805008902628132,0.011438811519169506
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.00019997230268213768,,0.0001349656321516511,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.16445135780812592,0.11099177819665947
"'market for electricity, high voltage' (kilowatt hour, HU, None)",,0.0003914466283698858,,0.00023373014767778455,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.3219142285277626,0.19221281962933973
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.0038613434191017127,0.0038613434191017127,0.000729843432795203,0.0004560679248250213,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,3.175455599189182,0.3750568878002345
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.00016938446020719553,,0.00011926277660140157,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.13929681310389763,0.09807821025716268
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,2.8591846693434593e-05,,1.0305805266253537e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.023513096303396683,0.008475192047148014
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.0005195044147882178,,0.00030133619732547245,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.4272251969565858,0.247810052403511
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-1.6674911130046265e-05,1.6674911130046265e-05,2.1671862824881048e-05,1.3079702120839158e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.013712957944104749,0.010756363479580802
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,2.780922833726107e-05,,1.6373915507283116e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.022869493916505754,0.013465427970234405
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.00023423715585932622,,0.0002927863871370046,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.1926297682905095,0.24077893921615018
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,6.297775461701349e-05,,3.4928554648482804e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.05179105865944478,0.02872421911022684
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-7.359446190154558e-05,7.359446190154558e-05,6.502142749402695e-05,3.677538614948757e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.06052192740964333,0.030242999180813995
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-2.6280016414424388e-05,2.6297047883589234e-05,2.077555555224534e-05,1.1474526044996402e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.021625921054055263,0.009436313744427955
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,2.1412294313882128e-05,,1.8073409126572645e-05,10,_fibreboard_production__hard___kilogram__RER__None_,131,115.400808095932,550,0.1215996665199055,0.017608842957128504,0.014863041687383314
