names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.25736018822694157,,0.11782597756393129,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,3.2227788625429588,1.4754693512139234
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.004303338538083401,,0.006693952206782128,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.05388832116750009,0.08382464990998117
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.010330820681653962,,0.005664588311419894,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.12936713621066073,0.0709344969042141
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.00917717080027367,0.00917717080027367,0.010014519998388947,0.00592572032937123,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.11492061875160027,0.07420450829791364
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.007177079299269628,,0.005980843252031325,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.08987458246682858,0.07489478207807536
"'market for hard coal' (kilogram, CN, None)",,0.015927641192191255,,0.007937439051784607,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.19945301453967826,0.09939614582600997
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,0.004545579352406026,,0.004315919311639811,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.05692176849835041,0.05404586321536448
"'market for hard coal' (kilogram, IN, None)",,0.00861000466282944,,0.004220767951228354,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.10781831185674523,0.052854335515649546
"'market for copper, anode' (kilogram, GLO, None)",,0.0004482807978830161,,0.00029577636856369956,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.005613571741046926,0.0037038433769183083
"'market for chemical, organic' (kilogram, GLO, None)",,0.26557529336004787,,0.1866271184965822,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,3.325652066665723,2.3370278705955734
"'market for iron(III) chloride, without water, in 14% iron solution state' (kilogram, GLO, None)",-2.4316591416218003e-05,0.00012632448413705256,0.00017447932854982578,6.959729947969e-05,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.0015818914343485768,0.0008715283711847109
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.005797068196148558,,0.0030636751901808776,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.07259346900536588,0.038364704784508735
"'market for synthetic rubber' (kilogram, GLO, None)",-0.0026719726000163702,0.0026719726000163702,0.001474794558776047,0.0008125302891982823,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.03345963055106771,0.010174866047638424
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.015633590804343924,,0.008016832481777945,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.19577078466175601,0.10039034570505921
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.001066950946331868,,0.0005967036667391701,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.013360834793050518,0.007472188987805392
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.10105410052613781,0.10105410052613781,0.08398665103720647,0.04674300026175241,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,1.2654444395329176,0.5853366608613857
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.013969475321442682,0.013969475321442682,0.029863659852811895,0.019988429307204767,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.17493198966369128,0.2503040113177464
"'market for ferrosilicon' (kilogram, GLO, None)",0.004752499845845026,0.004752499845845026,0.00264608151553838,0.0016203056511543763,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.0595129190452801,0.0202901887792938
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.013319824509816969,,0.006223040588903838,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.16679677295373532,0.07792768496493772
"'market for sodium hypochlorite, without water, in 15% solution state' (kilogram, RoW, None)",0.002336037683914394,0.002336037683914394,0.001271002424439583,0.0007428012498163117,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.029252903961915117,0.009301687970742241
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.022726482863320664,,0.011027273910963958,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.284591137022596,0.13808843363289766
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.006139123707667805,,0.005611205622053157,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.07687684041543213,0.07026601510016324
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.01946364065052224,0.01946364065052224,0.027773250704242858,0.016117218901571265,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.2437323741048944,0.20182699102302018
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",,0.005667507293820995,,0.0023418869126435714,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.07097104970147157,0.029326150608338725
"'market for aluminium, cast alloy' (kilogram, GLO, None)",,0.015137770140581422,,0.005082598601408703,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.1895618975537906,0.06364656263371367
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.04761942949495034,,0.01883689868222433,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.5963116979357848,0.2358840321308904
"'market for cast iron' (kilogram, GLO, None)",0.06047985181510409,0.06341747074229306,0.0628638868428404,0.03644058757191528,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.794141804263738,0.45632526217246566
"'market for steel, unalloyed' (kilogram, GLO, None)",0.010090098701941575,0.010529938504553017,0.011603180458710586,0.005972199821140268,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.1318605782430732,0.07478654518810625
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,1.5176114795689701e-05,,1.1754509061334154e-05,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.00019004206639740946,0.00014719519597581536
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.039575594294396964,,0.019397770353001855,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.49558321216368495,0.24290751691163295
"'market for electricity, low voltage' (kilowatt hour, KR, None)",,0.001688657103910085,,0.0016991078115308957,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.02114611610310721,0.021276984516947758
"'market for concrete, 20MPa' (cubic meter, RoW, None)",-0.0003159230728353668,0.0003159230728353668,0.0003850481712984573,0.00020835868604051285,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.003956129377810485,0.0026091602350184115
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.019690586283469223,0.019690586283469223,0.004465230348517402,0.0026431187538240256,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.24657428836462061,0.03309830984232719
"'market group for electricity, high voltage' (kilowatt hour, US, None)",,0.0005323351403337284,,0.0004497724477051001,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.006666137641085169,0.005632250844252621
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.02675939925588644,,0.011334223707893751,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.3350931116827287,0.14193219565460896
"'market for electricity, high voltage' (kilowatt hour, IT, None)",,0.005664523035235527,,0.00499588881423853,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.07093367948677028,0.06256074407260345
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,0.01109985527707527,,0.005394216482768911,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.13899732981505217,0.0675487804870536
"'market for refractory, basic, packed' (kilogram, GLO, None)",0.0003359558257342909,0.00045843822411753,0.00046210093266230065,0.00019374518895977686,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.005740767554789355,0.0024261635181443172
"'market for concrete, 35MPa' (cubic meter, RoW, None)",,0.0011698237696122992,,0.0007629038153801393,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.014649054088670321,0.009553421247082788
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-9.865311508752139e-05,0.0004493864223317656,0.0005843278355023616,0.00020942596498463103,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.005627416862656017,0.002622525177145778
"'market for electricity, low voltage' (kilowatt hour, IT, None)",,0.0008472021281540565,,0.0013522333546897522,10,_fishmeal_and_fish_oil_plant_construction_and_maintenance___unit__PE__None_,287,699.4404032230377,2280,7.985660797833007,0.010609042252132142,0.016933268128001316
