names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,7.860024738362448e-05,,1.6590867708566222e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.007382812226792883,0.001558357194145738
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.003689705808364488,,0.0010927133719567583,100,144,2546.428167104721,10600,1.0646383108373958,0.346568949361059,0.10263705155390096
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.003074776138946475,0.003074776138946475,0.005510770288495783,0.0010045024574013423,100,144,2546.428167104721,10600,1.0646383108373958,0.2888094583528557,0.09435152268860648
"'market for electricity, high voltage' (kilowatt hour, IT, None)",,0.0008763740005793935,,0.0005812484787892209,100,144,2546.428167104721,10600,1.0646383108373958,0.08231659443948414,0.0545958634845704
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.00018868467435094295,,4.459108193671279e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.01772288977676674,0.0041883784833592445
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.0012509160297428732,0.0012509160297428732,0.0023661173091304743,0.00040999130657011664,100,144,2546.428167104721,10600,1.0646383108373958,0.11749680778995825,0.03850991481300689
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.0003002597557568063,,4.3635640781315885e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.028202982430778366,0.004098635220725251
"'market for chemical factory' (kilogram, GLO, None)",0.0014781023267097652,0.001483837019256178,0.001465014993657479,0.00025686824614609943,100,144,2546.428167104721,10600,1.0646383108373958,0.1393747532989922,0.024127278112325172
"'market for petroleum' (kilogram, RoW, None)",,0.0018487882247597701,,0.0002919510836515654,100,144,2546.428167104721,10600,1.0646383108373958,0.17365411388451707,0.02742256038315304
"'market for biogas' (cubic meter, RoW, None)",,0.0008644166721405007,,0.00016354809592147295,100,144,2546.428167104721,10600,1.0646383108373958,0.08119345916272636,0.015361845826573111
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.008878392125437125,0.008878392125437125,0.0008905116355097451,0.00016625294659797297,100,144,2546.428167104721,10600,1.0646383108373958,0.8339350589829693,0.015615908699284552
"'market for railway track' (meter-year, GLO, None)",0.000909293332015251,0.000909293332015251,0.0001996538117799931,4.653323084117688e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.08540866158574009,0.00437080183640733
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,9.193509156186712e-05,,2.0291219348339513e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.008635335646484032,0.0019059260916864213
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,6.326960816461245e-05,,1.0593286930944108e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.005942826546871817,0.000995012749692608
"'market for electricity, high voltage' (kilowatt hour, RO, None)",,0.001646402649770131,,0.0006044013005905872,100,144,2546.428167104721,10600,1.0646383108373958,0.1546443175124091,0.05677057592593985
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.07088806873984668,0.07088806873984668,0.013755621799107366,0.002705697018233931,100,144,2546.428167104721,10600,1.0646383108373958,6.65841798273156,0.2541423684167211
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-3.076341054284698e-05,6.177096553500377e-05,7.565598830706483e-05,1.1026185761243243e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.005802061123126177,0.0010356743364392505
"'market for electricity, medium voltage' (kilowatt hour, BE, None)",-0.0006057412918841263,0.0006057412918841263,0.001135662500974539,0.00021963436310049386,100,144,2546.428167104721,10600,1.0646383108373958,0.056896439449720525,0.020629951117177015
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,0.011059722119653163,,0.0025693280588730966,100,144,2546.428167104721,10600,1.0646383108373958,1.038824360073431,0.24133342119279746
