names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,576.9605841810196,,179.1865843545432,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,4.010123778999717,1.2454236953081814
"'market for diesel' (kilogram, PE, None)",-116.93385822495729,116.93385822495729,142.5127920647181,89.3679771733,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.8127405204008893,0.6211458116371339
"'market for diesel' (kilogram, RoW, None)",,130.86460659729528,,57.67810978937141,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.9095652027775402,0.4008876272240222
"'market group for diesel' (kilogram, RER, None)",68.87480782698621,68.87480782698621,153.17187941141884,83.4671786340431,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.4787094859055008,0.5801327282720894
"'market for diesel' (kilogram, ZA, None)",73.32623260610868,73.32623260610868,110.1576172802101,63.070377743023236,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.5096487993466888,0.43836620468069815
"'market for coke' (megajoule, GLO, None)",,1.9592635042927213,,0.8551701425055498,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.013617722567726536,0.00594379965907019
"'market for diesel, low-sulfur' (kilogram, RoW, None)",,14.715405282908705,,4.728824853173485,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.10227838479880606,0.03286736305800433
"'market group for diesel' (kilogram, GLO, None)",,1902.9705563123337,,992.3033140895344,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,13.226462409796373,6.896934079923538
"'market for diesel' (kilogram, BR, None)",-530.4772317557687,530.4772317557687,737.1565622008744,475.72624353374977,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,3.687044521943157,3.306501646376521
"'market for heavy fuel oil' (kilogram, RoW, None)",,56.4887609659203,,15.310324552286408,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.3926211422522339,0.1064133291505127
"'market for diesel' (kilogram, IN, None)",-37.278373749835644,38.31875271577337,80.35717859035722,49.67783934026409,10,_gold_production___kilogram__TZ__None_,125,62.85778832435608,120,14387.600382872377,0.26633178359186066,0.345282312673924
