names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0004643902524215776,,0.0001501880125706828,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.643437964423859,0.20809366386445483
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-4.829565095393201e-05,4.829565095393201e-05,6.237176860144454e-05,3.628768548090757e-05,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.06691625239393015,0.05027856282024644
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,1.814956447262725e-05,,6.5570174157917524e-06,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.025147209181396356,0.00908510442824446
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.0002786564626461891,,0.0001927650257279486,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.38609369202661165,0.2670864324126821
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,6.221708086393585e-05,,5.9083530364817714e-05,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.0862051510657966,0.08186344633780508
"'market for electricity, high voltage' (kilowatt hour, CA-QC, None)",,0.00019656995270265562,,0.00015409739516036722,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.27235836578040573,0.21351032617065904
"'market for electricity, medium voltage' (kilowatt hour, CA-QC, None)",-0.00027530590289889106,0.00027530590289889106,0.0004370859261407988,0.000245726189990895,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.38145130917675624,0.3404670073691355
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",1.8607107715341854e-05,1.8607107715341854e-05,2.0610540369958826e-05,1.2296894350912268e-05,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.025781160241292674,0.017038016255998836
"'market group for electricity, medium voltage' (kilowatt hour, CA, None)",4.9336408894603415e-05,8.271603553936594e-05,0.00013105984617353127,7.568850904083151e-05,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.11460756821472905,0.10487054784969604
"'market for natural gas, high pressure' (cubic meter, CA, None)",-0.003228434166552345,0.003228434166552345,0.0001811623121982572,0.00010019940256173352,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,4.47317121229558,0.13883172457780246
"'market for electricity, high voltage' (kilowatt hour, CA-AB, None)",,1.0267764752724607e-05,,1.483791482510244e-05,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.014226546783067652,0.020558738392061276
"'market for electricity, low voltage' (kilowatt hour, CA-QC, None)",,0.00028540376697921006,,0.0001963799028782875,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.395442449333098,0.2720950414072242
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,1.8278970939894563e-06,,8.338405982591478e-07,10,_heat_production__natural_gas__at_boiler_modulating__100kW___megajoule__CA_QC__None_,27,28.971030712127686,140,0.07217327514042436,0.0025326508883419764,0.0011553315221413756
