names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0003195200908332221,,0.00016650876679920898,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,3.3767595267301624,1.7597017549259504
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-2.3165411429768197e-06,2.4506636995820334e-06,4.152080928645717e-06,2.243348217997411e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.02589916012102921,0.023708203910250813
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-6.83908177754179e-07,6.83908177754179e-07,5.235002489386759e-07,2.633145665796487e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.007227694035194516,0.0027827670207090562
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",,4.302250964656582e-06,,3.0354427423601343e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.04546714697471421,0.03207923536632513
"'market for natural gas, high pressure' (cubic meter, IR, None)",-7.364867554164513e-08,7.364867554164513e-08,1.0230598334272198e-07,6.490958811897315e-08,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.0007783356161353812,0.0006859789926990216
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-3.4231929557739828e-06,3.4231929557739828e-06,2.3354377015012597e-06,1.2293350587210096e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.036177066033944376,0.012991886864623837
"'market for electricity, low voltage' (kilowatt hour, PH, None)",,3.1935308704718333e-06,,4.973287645775884e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.03374994593501596,0.052558812164987735
"'market for electricity, high voltage' (kilowatt hour, IN-North-eastern grid, None)",,1.0431642763617703e-06,,5.489403230464769e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.01102439254747148,0.005801323668316859
"'market for electricity, low voltage' (kilowatt hour, TW, None)",,3.63453960460548e-06,,3.574284050378668e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.038410624518555474,0.03777383039320579
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,1.4812071332294461e-05,,8.585162754207738e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.15653727079102206,0.09072991323707305
"'market for electricity, low voltage' (kilowatt hour, IN-North-eastern grid, None)",,8.765521509130356e-07,,8.955125156916135e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.0092635984753033,0.009463975835704592
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,2.7851608299182643e-05,,2.9715705193504495e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.2943420033894257,0.3140421947928356
"'market for electricity, low voltage' (kilowatt hour, AU, None)",,3.1813660392519405e-05,,1.2178908195617644e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.3362138528768477,0.12870941594777469
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,4.102154764401264e-06,,2.6336820156824358e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.04335248573788035,0.02783333847221378
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,4.354531452168179e-06,,2.5057429681520623e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.046019658817730145,0.026481250105994364
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-4.545627095067653e-06,4.545627095067653e-06,1.1421067282231785e-06,6.344303261564855e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.04803920015860389,0.0067048010730994985
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,1.8085875596944493e-06,,5.109971497946831e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.019113556384507936,0.0054003317575476405
"'market for electricity, low voltage' (kilowatt hour, KW, None)",,6.510825450678666e-06,,1.1307316896782814e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.06880785433593288,0.11949824486278696
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-1.9774842378898045e-05,1.9774842378898045e-05,5.0774282244779535e-05,2.544677038206622e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.20898494119227512,0.26892714035002
"'market for electricity, high voltage' (kilowatt hour, BR-Southern grid, None)",,2.87908584774791e-06,,1.6894907842814382e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.030426820859071623,0.017854915120573644
"'market group for electricity, low voltage' (kilowatt hour, RAF, None)",,3.7660309569919173e-05,,1.6960682261969075e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.39800254434144394,0.17924426992555326
"'market for electricity, medium voltage' (kilowatt hour, SG, None)",-1.4594806320065578e-05,1.4594806320065578e-05,2.424970962458379e-05,1.352974869037795e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.15424116572308763,0.14298539933861465
"'market for electricity, low voltage' (kilowatt hour, IN-Southern grid, None)",,4.0945809648576613e-07,,2.6434471310806795e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.004327244413644078,0.0027936538387951944
"'market for electricity, low voltage' (kilowatt hour, AR, None)",1.9326318686803574e-05,1.9326318686803574e-05,2.3694381680984182e-05,1.3139449056125313e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.204244842858256,0.13886062582341865
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,1.4768585696039264e-06,,9.432874466009388e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.01560777048960646,0.00996887195245972
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,8.570710208840608e-06,,1.2411121573256572e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.09057717551680422,0.13116349867268767
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,2.4051063883674586e-05,,1.0377953560095718e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.2541770030341692,0.109676526006961
"'market for electricity, low voltage' (kilowatt hour, EG, None)",,3.6374778705403154e-06,,2.485510605927516e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.03844167676776349,0.026267429993112466
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",5.473336375449804e-06,5.936412462457792e-06,5.3680688396505955e-06,3.0603988451287815e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.06273732986532986,0.032342977021988566
"'market for electricity, low voltage' (kilowatt hour, OM, None)",,8.925942664211438e-06,,3.60957201317347e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.09433135127066412,0.038146761448137306
"'market for electricity, high voltage' (kilowatt hour, MA, None)",,3.0491534074550316e-06,,3.0453523682442637e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.03222413273054491,0.03218396250108308
"'market group for electricity, low voltage' (kilowatt hour, CA, None)",-0.00025695779935242696,0.00025695779935242696,0.00020363969906832507,0.0001301343258863966,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,2.715587288011336,1.3752885571156934
"'market for electricity, low voltage' (kilowatt hour, ZA, None)",-8.251344931100744e-07,1.4161654806715091e-06,1.779745621082102e-06,8.047380475175731e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.01496635239998093,0.00850465102645324
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,5.143283837415256e-06,,2.70142956768852e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.05435536980281628,0.028549309699727608
"'market for electricity, low voltage' (kilowatt hour, IQ, None)",,3.330168117817345e-06,,5.287124303912942e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.035193958815323285,0.055875507908400686
"'market for electricity, low voltage' (kilowatt hour, US-PR, None)",,5.448364468980171e-05,,5.4751268672239755e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.5757952990608628,0.5786236089487403
"'market for electricity, low voltage' (kilowatt hour, CN-NWG, None)",,5.104611238151154e-07,,2.98101011843457e-07,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.00539466691553924,0.0031503979266070976
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,2.10410114556379e-05,,1.6889395449741055e-05,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.22236609816798503,0.17849089500727047
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,3.211525027954456e-06,,1.9020275374176527e-06,10,_heat_production__straw__organic__at_furnace_300kW___megajoule__RoW__None_,278,341.60280752182007,1700,0.009462328848232343,0.033940112201389,0.02010105089269826
