names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, low voltage' (kilowatt hour, CA-AB, None)",,0.0006342103716592024,,0.0008141862134771353,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.0425740098571267,0.05465563703637874
other,,0.07508422411027096,,0.02818592017334117,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,5.040340934542651,1.8920971603675312
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.001024999967105942,,0.001345602675066933,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.06880738734839283,0.09032917800161683
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",0.0006414433451580826,0.0006414433451580826,0.001498991148723604,0.0008644344204222139,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.04305955329633607,0.058028756987391246
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.0016129176695843018,0.0016129176695843018,0.002343577224821808,0.0014322914048581243,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.1082738091841162,0.09614851966103578
"'market for electricity, high voltage' (kilowatt hour, EE, None)",,0.001117043042135049,,0.0008286067274560975,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.0749861617088903,0.05562367403438462
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.0022257902970772955,,0.0031295657155985352,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.14941543418748468,0.21008511935218607
"'market for electricity, low voltage' (kilowatt hour, HU, None)",,0.014222213022432234,,0.018354602631086396,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.9547252212591593,1.2321290667246019
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,0.002491691259422962,,0.002404810514168094,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.1672651425773169,0.16143291108101004
"'market for electricity, low voltage' (kilowatt hour, FR, None)",,0.0006734387343700325,,0.0005862505485441067,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.04520737691537984,0.03935450719162104
"'market for zinc coat, coils' (square meter, GLO, None)",7.430602821389409e-05,7.430602821389409e-05,7.722925458216645e-05,4.441299489045998e-05,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.004988101297280888,0.0029814070641957548
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.011599970645363845,,0.004460760941131908,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.7786962917463585,0.2994471373610498
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.008020417420889272,,0.008313841739098906,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.5384038886685022,0.558101216832808
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.0004261795408706056,,0.0003830365485639743,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.028609074819231747,0.025712921962375814
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.1952566692098095,0.1952566692098095,0.14035300798726297,0.08232198000939583,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,13.107416294470715,5.526205412265826
"'market for electricity, low voltage' (kilowatt hour, SK, None)",,0.003266935825754355,,0.004232592020443541,10,_impact_extrusion_of_aluminium__2_strokes___kilogram__RoW__None_,345,806.2830579280853,2650,1.4896655818597702,0.21930665953064146,0.2841303492532445
