names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.06030945434926838,,0.026402894378945562,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,4.187476560867911,1.8332366383322605
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.0003147355736136725,0.0003147355736136725,0.00043882553998395436,0.00027934236246450933,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.021853088402126443,0.01939562557643653
"'market for natural gas, high pressure' (cubic meter, KZ, None)",7.228474883561042e-06,7.228474883561042e-06,3.971926692163485e-06,2.4430822310713096e-06,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.0005018959211674823,0.00016963094243296033
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.00012373041385647932,0.0001281694326973032,0.00012667504908166907,6.532216243014671e-05,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.008899209933677758,0.0045355247702512855
"'market for natural gas, high pressure' (cubic meter, QA, None)",-0.0002214987769725979,0.0002214987769725979,0.00010922250464142963,7.106777520372973e-05,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.015379362105684757,0.004934460875324735
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",,0.0015528770335860337,,0.0015094093323672413,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.10782117414614767,0.10480307388355244
"'market for electricity, low voltage' (kilowatt hour, FI, None)",,0.00038616367109904626,,0.000434935635005695,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.026812567595474825,0.030198959627872064
"'market for electricity, low voltage' (kilowatt hour, XK, None)",,0.0065539285518115995,,0.006513253680582322,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.4550600314401117,0.4522358462153123
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",0.0007809537920090259,0.0007809537920090259,0.0019380188679396046,0.001088876907581042,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.05422409694208055,0.07560417479090095
"'market for natural gas, high pressure' (cubic meter, IR, None)",-1.811556001456438e-05,1.811556001456438e-05,1.7016762992005325e-05,9.915950681623003e-06,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.0012578207474514243,0.0006884958835400612
"'market for electricity, low voltage' (kilowatt hour, NO, None)",,0.00011541240469208626,,0.00014090828611775557,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.008013449047021197,0.009783708901311404
"'market for impact extrusion of steel, hot, tempering' (kilogram, GLO, None)",0.0006209832849628782,0.0009960214822446133,0.001017127937499732,0.00037519572847760874,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.06915692831286294,0.026051028577359487
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.0030905386283456822,0.0030905386283456822,0.005064596954599042,0.0028790403863641857,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.2145858921506128,0.19990089888515755
"'market for zinc coat, coils' (square meter, GLO, None)",5.098682843065749e-05,5.814216314717624e-05,7.563808535373833e-05,3.836645997826775e-05,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.004036994663671869,0.0026639049153397284
"'market for electricity, low voltage' (kilowatt hour, PH, None)",,0.0067350231875933034,,0.008301455605685834,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.4676340059656165,0.5763963734206239
"'market for electricity, low voltage' (kilowatt hour, LT, None)",,0.0003219295347188178,,0.00038172935842602587,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.022352587922270198,0.026504679212431322
"'market for electricity, high voltage' (kilowatt hour, IN-North-eastern grid, None)",,0.0002405110362320135,,0.00018384317464644818,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.016699443523713914,0.012764814290131057
"'market for electricity, low voltage' (kilowatt hour, TW, None)",,0.0015716002045311928,,0.001532978231344795,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.10912118324627855,0.10643953723907221
"'market for electricity, low voltage' (kilowatt hour, GR, None)",,0.0015617142504263965,,0.002415179386350596,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.10843477012013902,0.16769355948844122
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.002541765310916752,,0.001133604076236177,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.17648282143378666,0.07870972386937038
"'market for electricity, low voltage' (kilowatt hour, IN-North-eastern grid, None)",,7.952358060114572e-05,,0.00012137863017410881,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.0055215742439829844,0.008427702991653765
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.001515858307605955,,0.0007463235775711162,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.10525084667382406,0.05181961139630251
"'market for electricity, low voltage' (kilowatt hour, AU, None)",,0.004884941502313655,,0.002503537460115406,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.33917697088893434,0.17382854059290992
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.0006975517727530691,,0.0004576845783418964,10,_impact_extrusion_of_steel__hot__2_strokes___kilogram__RoW__None_,345,839.0550048351288,2700,1.4402338370765333,0.04843323040993111,0.03177849086443699
