names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for clinker' (kilogram, RoW, None)",0.03882342749591738,0.03882342749591738,0.00962862280635157,0.006044560609901336,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,5.28568412832342,0.8229473835560812
other,,0.014429185477702607,,0.005191683293917338,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,1.964486949848715,0.7068308945372341
"'market for lime' (kilogram, RER, None)",,0.0015107924469477591,,0.00026026356460210704,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.2056895069056545,0.035434042827437076
"'market for transport, freight train' (ton kilometer, CN, None)",,0.001730906988778183,,0.0009901350416801691,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.23565739009393305,0.13480368458596478
"'market for chemical, organic' (kilogram, GLO, None)",,0.036744550557023345,,0.015873700664773352,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,5.002651754589667,2.161153022112038
"'market for synthetic rubber' (kilogram, GLO, None)",-0.0001321462855791683,0.0001321462855791683,0.00010882667560193715,6.66196146034862e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.017991289521672338,0.009070045131427402
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.002430853956844983,,0.0014085568498513965,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.3309529067035328,0.1917704609126458
"'market for ethylene glycol' (kilogram, GLO, None)",3.321034111140875e-05,3.617883983159931e-05,4.344910774368004e-05,2.3444765181470223e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.004925632068398627,0.003191928977033214
"'market for styrene' (kilogram, GLO, None)",-2.6511013944158225e-06,2.6511013944158225e-06,1.6845089621588107e-06,8.504291672420672e-07,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.0003609388832171858,0.00011578318148307224
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.028880795237340395,,0.015233501912975176,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,3.932026893179943,2.0739920319674168
"'market for bitumen adhesive compound, hot' (kilogram, GLO, None)",-6.409050619027579e-05,0.00010130871779810702,0.00013807887091594738,6.417684856920255e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.01379285437336932,0.008737470433895136
"'market for silica sand' (kilogram, GLO, None)",,0.020825363457822592,,0.004961965536662415,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,2.835305901498648,0.6755555646183575
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.000313333628067311,,0.00017379334989545825,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.042659360380263744,0.023661402673609458
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",,0.0002923723279480539,,0.00010531183487596928,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.03980554714182589,0.014337865820503967
"'market for explosive, tovex' (kilogram, GLO, None)",-0.0003669936874754226,0.0003669936874754226,0.00011085587083195152,7.221239278111007e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.049965003973122035,0.009831483797547459
"'market for lime' (kilogram, RoW, None)",,0.05182756454959773,,0.00838260872304363,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,7.056155342757254,1.1412650747025497
"'market for acetic acid, without water, in 98% solution state' (kilogram, GLO, None)",,7.994621772347554e-06,,3.3650578174861875e-06,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.001088441905818079,0.0004581417418296675
"'market for limestone, unprocessed' (kilogram, RoW, None)",0.0008354335200517927,0.0008354335200517927,0.00027600163676474765,0.0001497074695775525,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.1137415726025604,0.020382187943626135
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.0002697406669886687,0.0002697406669886687,9.776256788005768e-05,5.66732311760856e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.03672431967567291,0.007715877186776999
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",-0.0003016173263876515,0.0003016173263876515,9.386718241729805e-05,5.747814058535532e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.041064223788129066,0.007825463000388187
"'market for sand' (kilogram, RoW, None)",,0.00021638734257903858,,8.726369187426152e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.02946043706111169,0.011880669504700323
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.014490181287402046,,0.009758317215589429,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,1.9727913321255366,1.3285633379744812
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.0028280353479908592,,0.0004895902082455235,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.38502786892746166,0.06665612389266902
"'market for clay brick' (kilogram, GLO, None)",3.594706428495797e-05,3.60508146241223e-05,1.918325623743266e-05,1.204139940593298e-05,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.004908201850336151,0.0016393975964496196
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.006083310898626894,,0.004976222733149103,10,_lime_mortar_production___kilogram__RoW__None_,133,75.13068890571594,300,0.7345014676128949,0.828223110077295,0.6774966358231603
