names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.07409251147132066,,0.06958618049460653,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,6.049736334134911,5.681789375635366
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,4.6873231967571626e-05,,3.247611036894247e-05,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.003827251754616459,0.0026517106923338147
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.0008675115040932842,,0.0007013769690198693,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.07083328345030684,0.057268213064249195
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.0018303377632532536,,0.0010768965393223085,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.14944912313275457,0.08792980549139685
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.012815484591694825,,0.011056135237724864,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,1.0463986337395557,0.9027457935295335
"'market group for electricity, high voltage' (kilowatt hour, ENTSO-E, None)",,0.0021436604339644086,,0.0018818805625144578,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.17503226922496348,0.15365765027350653
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.0008876960382560896,0.0008876960382560896,0.002408953509542716,0.0013703520374812226,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.07248137321386652,0.11189077475008943
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.0006829060384088065,,0.0004289961085761118,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.05576004094504272,0.03502801151854556
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.003170173377150374,0.003170173377150374,0.0032227083897166746,0.0018356436290844324,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.25884819780575785,0.14988235300532207
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.0008057313514832005,,0.0009955042891927677,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.06578886497195234,0.08128403734091005
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.0002818915456111892,,0.00013127085985036404,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.023016759614493097,0.010718412356116125
"'market for electricity, high voltage' (kilowatt hour, BE, None)",,0.16117925718216453,,0.28033535252498365,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,13.16046641044486,22.889694710502205
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.00022074801733168204,,0.00021819178176549545,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.018024322223935487,0.01781560273425598
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,0.012501694923044655,,0.008296032866337663,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,1.0207773567439191,0.6773803514554528
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-6.186047741476227e-05,6.284524376142173e-05,9.713120650455491e-05,5.7182859701520946e-05,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.0051313843607285895,0.004669044376501333
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.001515176741374947,0.001515176741374947,0.0016055280976865062,0.0009491581011770761,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.1237158736140324,0.07749981931375212
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,9.268234171705273e-05,,5.773377901871873e-05,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.007567616741340938,0.004714027554210437
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.0007396824640052274,,0.0006436596647072261,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.060395899522814496,0.05255553068819455
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.0023024681252765407,,0.003556057079105862,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.1879990946327237,0.290356033160674
"'market for heat, central or small-scale, other than natural gas' (megajoule, RoW, None)",,0.004822666162673855,,0.002996170366563325,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.3937760798272339,0.24464065760373901
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.00023440872692840668,,0.00018146418723492415,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.019139734423579437,0.014816753610576636
"'market for natural gas, high pressure' (cubic meter, IT, None)",,0.0007727320773760648,,0.0006643889358442007,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.06309443737594232,0.054248098834248436
"'market for electricity, high voltage' (kilowatt hour, PT, None)",,0.036506522527951175,,0.06534435992893213,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,2.9807983476946687,5.3354399876952066
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.0004802613602044541,,0.00040949022889925094,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.03921387658501181,0.033435334651922596
"'market for natural gas, high pressure' (cubic meter, BE, None)",,0.009533486427083564,,0.014795971208792773,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.7784198171124759,1.2081075785276276
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.0001968392322038992,,0.00013679556395952211,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.016072143208535807,0.011169510618555983
"'market group for electricity, high voltage' (kilowatt hour, RNA, None)",-0.0003656305034068254,0.0003656305034068254,0.0003533128360112392,0.00020504611132707857,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.029854139067542702,0.016742244057264218
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.0009697159142922859,,0.0005908421685319608,10,_magnesium__for_reuse_in_hafnium_sponge_production__to_generic_market_for_magnesium___kilogram__FR__None_,182,252.83390355110168,950,1.2247229859136597,0.07917838772078446,0.04824292312038094
