names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
"Electricity, gas, steam and air conditioning supply",,0.8337358165138573,,0.2552229143729956,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,20.689923836144622,6.333592194342743,163,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of coke and refined petroleum products,,0.06854099321582423,,0.006002305494629822,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,1.7009080109077197,0.1489527510578038,22,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Land transport and transport via pipelines,,0.13451922341628642,,0.013155012333718118,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,3.3382186921245567,0.32645377331423214,19,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of basic metals,,0.12437451972906895,,0.12799301595102197,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,3.086468506428538,3.176264830096901,18,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Specialized construction activities,1.1898347024123328e-08,5.11240724408261e-08,2.354089917044397e-07,2.6288371041554933e-08,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,1.2686910458244081e-06,6.523701919156322e-07,17,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Mining of coal and lignite,,0.07609844242568299,,0.1217484068313617,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,1.88845308867746,3.021299090934468,8,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of machinery and equipment,,0.000470205178738803,,7.355859278982823e-05,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.01166857551609684,0.001825424375648407,8,_market_for_ascorbic_acid___kilogram__GLO__None_,12
"Crop and animal production, hunting and related service activities",,0.1446938270850829,,0.0182482011050677,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,3.590710873461543,0.45284595375689446,7,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of other transport equipment,-9.701023052033631e-05,9.726215054899993e-05,0.0001599606563236798,1.87915953227688e-05,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.002413650040144334,0.0004663307828293064,6,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of chemicals and chemical products,,0.0436679134934319,,0.004690175470580552,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,1.0836595794099984,0.11639103339739097,5,_market_for_ascorbic_acid___kilogram__GLO__None_,12
