names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
"Electricity, gas, steam and air conditioning supply",,3.651829426,,0.334029217,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,18.11854337,1.657285199,240,_chromium_production___kilogram__RoW__None_,12
Manufacture of chemicals and chemical products,,0.174215467,,0.016446239,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.864369643,0.081597978,29,_chromium_production___kilogram__RoW__None_,12
Land transport and transport via pipelines,,0.137872678,,0.015590776,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.684054975,0.077353597,26,_chromium_production___kilogram__RoW__None_,12
Other mining and quarrying,,0.0409297,,0.003249386,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.203072615,0.016121821,22,_chromium_production___kilogram__RoW__None_,12
Manufacture of other non-metallic mineral products,,0.020855861,,0.002043369,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.103476309,0.010138169,19,_chromium_production___kilogram__RoW__None_,12
Civil engineering,,0.026278821,,0.002195273,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.130382311,0.010891842,19,_chromium_production___kilogram__RoW__None_,12
"Waste collection, treatment, and disposal activities",,0.727803174,,0.077864544,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,3.610993787,0.38632476,16,_chromium_production___kilogram__RoW__None_,12
Mining of metal ores,,0.105382902,,0.007042756,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.522857029,0.034942619,13,_chromium_production___kilogram__RoW__None_,12
Manufacture of basic metals,,5.053032035,,0.406089751,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,25.07060691,2.014813373,7,_chromium_production___kilogram__RoW__None_,12
Manufacture of wood and products of wood and cork,,0.001352993,,0.000162067,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.15520427,0.006712872,0.000804093,6,_chromium_production___kilogram__RoW__None_,12
