names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Manufacture of basic metals,,5.341300808713995,,0.4736442998697566,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,67.26626962698187,5.964892509020285,149,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
"Waste collection, treatment, and disposal activities",,0.03138576252195479,,0.002604398927111692,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.39526011356745505,0.032798789418770215,23,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
"Electricity, gas, steam and air conditioning supply",,1.5325170103565144,,0.2589348376778516,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,19.299924516214855,3.2609248628426744,21,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of coke and refined petroleum products,,0.03134678124071574,,0.002913524659784285,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.39476919843869973,0.03669179893597795,13,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of other non-metallic mineral products,,0.07589965425321593,,0.0076125575711359994,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.9558507918637058,0.09586959590359509,13,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Extraction of crude petroleum and natural gas,,0.004177900996463659,,0.0006840660929661744,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.05261486386321381,0.00861486291449245,11,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of chemicals and chemical products,,0.20810392280834616,,0.03590615873197607,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,2.6207800465424773,0.4521882292407022,8,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Mining of coal and lignite,,0.23475261644535644,,0.04688529801922432,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,2.9563833528512187,0.5904552488332652,7,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Sewerage,,0.004381889133474007,,0.0003472163370966253,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.055183811300597976,0.004372707807792977,6,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
"Wholesale trade, except of motor vehicles and motorcycles",,0.10213993572855348,,0.010014994086847948,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,1.2863107138977403,0.12612494908721317,4,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of wood and products of wood and cork,,0.0006325036211536954,,9.932215466425313e-05,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.007965505153942181,0.0012508246726487986,4,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Mining of metal ores,,0.022316916559803737,,0.0014221037795252205,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.28105058679817124,0.01790942313434788,4,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Land transport and transport via pipelines,,0.1392697988740981,,0.01654606366182977,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,1.7539098016492645,0.20837470485206003,3,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of machinery and equipment,,0.0010322285979064067,,0.00010042205604002666,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.012999486392935659,0.0012646764037449328,3,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Civil engineering,,0.020649565950721815,,0.0019148778754104546,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.26005262026345727,0.024115228870832707,2,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of electrical equipment,,0.00048541465689417934,,2.775252620215379e-05,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.006113123817752976,0.0003495045452782542,2,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Manufacture of other transport equipment,-0.0004391087707943786,0.00043960796031986476,0.00034397842337596086,3.7527574599043444e-05,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.00553625205695225,0.0004726077114600307,2,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Other mining and quarrying,,0.018951129094795974,,0.0019581548653791474,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.23866316559939427,0.024660242488326233,2,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Unknown,,0.0021727907259582167,,0.0002463753890000385,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.027363283224353805,0.0031027560400439785,1,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
Construction of buildings,,0.0007697076478916388,,7.006388146464991e-05,300,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,0,281,1919.4449877738953,6900,7.940533700372602,0.009693399422957188,0.0008823573340084462,1,_iron_nickel_chromium_alloy_production___kilogram__RER__None_,12
