names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for concrete, 30MPa' (cubic meter, RoW, None)",,1422.628870400377,,1434.8682947428067,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,2.683148011037079,2.7062321672523164
"'market for concrete, 25MPa' (cubic meter, AT, None)",-0.4262758033373757,0.4262758033373757,0.3398566492069759,0.22485459077926812,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.0008039771283117702,0.0004240868160169946
"'market for chemical factory, organics' (unit, GLO, None)",-4.743240797174076,4.743240797174076,4.041815153872637,2.4727875822654823,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.008945985404630362,0.004663798985891195
other,,4106.9670536706135,,2416.431762984382,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,7.745941833972357,4.557509139283561
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,2637.089634033759,,1539.184917225032,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,4.97368073550541,2.9029784472940787
"'market for copper, anode' (kilogram, GLO, None)",,4.299770111679209,,2.4383257364653317,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.008109577882966665,0.004598802249961524
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,1685.9692264162215,,1590.9081648766685,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,3.179820872927512,3.000531035989828
"'market for unreinforced concrete, 15MPa' (cubic meter, CH, None)",-307.26081409797024,307.26081409797024,263.4849291251826,157.2627577644456,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.5795090057356845,0.29660529494746174
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,103.37203085397361,,108.30041863368967,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.19496473377813808,0.2042599154969254
"'market for waste wood, untreated' (kilogram, BR, None)",,177.70238699225175,,74.39844740142927,10,_market_for_anaerobic_digestion_plant__agricultural___unit__GLO__None_,272,450.85114216804504,980,53020.88682951593,0.3351554408428482,0.14031913053557749
