names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, CN, None)",-0.0026651289677310785,0.0026651289677310785,0.0017980890806825378,0.0010354630367609993,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.022830501571270045,0.008870167550611915
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Africa, None)",0.06642881719818432,0.06642881719818432,0.10953843280925216,0.07127946509054742,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.5690543436297183,0.6106068259557623
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.00386498252902836,,0.002035581085521636,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.03310890045859009,0.017437556581366392
"'market for electricity, high voltage' (kilowatt hour, CL, None)",,0.017086201962554348,,0.006888756312889483,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.14636686084472275,0.059011689013838846
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.03178551194580935,,0.02431064222836521,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.2722867032735831,0.2082541454141291
"'market for natural gas, high pressure' (cubic meter, IT, None)",,0.002701974071553304,,0.0010437264236031235,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.02314613064997202,0.008940954844047753
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.04972386911767377,,0.04970903015094098,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.42595344756885517,0.4258263313739502
"'market for heat, district or industrial, natural gas' (megajoule, CA-QC, None)",,0.02646109747240923,,0.018172089611243527,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.22667575743461232,0.15566898467054527
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.027529917744562545,,0.024261232774910706,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.23583167566530702,0.20783088536991104
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.027582925982727092,,0.025420889392885688,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.23628576425890188,0.21776494205511196
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.008332414578189451,,0.004143352578349258,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.07137861110030264,0.03549352346384217
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.06525028735139218,0.06525028735139218,0.1474216435913999,0.08818881202858851,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.5589586117365324,0.7554586798481294
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.026279280866423275,,0.021933789166526295,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.22511824770097297,0.1878931241577398
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",5.154119717907246e-05,0.0018988080935078643,0.0026329032729701077,0.0009384233605128587,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.016265907461610624,0.008038889024175419
"'market for polyethylene terephthalate, granulate, amorphous' (kilogram, GLO, None)",,0.0037857303519198246,,0.0019738810768029327,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.032429996369553314,0.01690901099762342
"'market for sheet rolling, aluminium' (kilogram, GLO, None)",0.013814524148615281,0.013954575781956868,0.009349016028066398,0.005908608530390557,10,_market_for_battery__Li_ion__LFP__rechargeable__prismatic___kilogram__GLO__None_,355,717.882497549057,2420,11.673545407714052,0.11954016791450074,0.05061537282825885
