names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for gypsum, mineral' (kilogram, RoW, None)",0.004323198725882467,0.004323198725882467,0.003763425770726545,0.0019440288111728277,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,2.5275222169268243,1.1365602929997596
other,,0.007443839170443363,,0.0035474678195319526,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,4.351978725818408,2.0739975874853482
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,1.1424768688365196e-05,,6.4427410624118675e-06,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.006679396093964804,0.003766695034318308
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.0010865157457866097,,0.001668130345026323,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.6352224037436333,0.9752585469970979
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.0015958737521933278,,0.0011940485708473577,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.9330143303221978,0.6980905765071852
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.0001888675299536381,0.0001888675299536381,0.0002693851004048464,0.00014890258079865097,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.11041983223116142,0.08705465674597436
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,6.360445706231377e-05,,6.524572448119631e-05,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.03718581738056722,0.038145370740977916
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.00036856266562410516,,0.00017386711444041179,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.21547710035109402,0.10164996392836341
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.005350252210235902,,0.003920317962492593,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,3.1279805035501225,2.291981325839869
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.0010074017969574453,,0.001009036508215356,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.5889690908581129,0.5899248112134815
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.000804558617484262,,0.0007884895451706317,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.4703785112483602,0.4609838616258602
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,5.458403467591413e-05,,4.304302100847026e-05,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.031912102376167255,0.025164744620974965
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.0002860301603606917,0.0002860301603606917,9.083058985947021e-05,5.4475838432572206e-05,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.1672251568484675,0.03184884634141745
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.0001689309886249879,0.0001689309886249879,0.0002571022985321603,0.00013368237262185426,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,0.09876409898087983,0.07815628848850951
"'market for silica sand' (kilogram, GLO, None)",,0.01387751854617788,,0.004814135170103961,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,8.113375920307446,2.814544130224505
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.0025872305327199986,,0.0009330890290689195,10,_market_for_cover_plaster__mineral___kilogram__GLO__None_,248,396.3628168106079,1650,0.17104493471630008,1.5126028356298604,0.5455227485201869
