names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, low voltage' (kilowatt hour, EG, None)",,1.142672985515042e-06,,8.429242500501523e-07,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0019928589735209268,0.0014700873977113293
"'market for natural gas, high pressure' (cubic meter, CN, None)",-1.7369065469551373e-06,1.7369065469551373e-06,2.2448890905043165e-06,1.2215661123730055e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0030292216952224663,0.002130451161138062
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",3.734314535225932e-06,3.734314535225932e-06,5.377148485028384e-06,3.370844690246858e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.00651276640457224,0.0058788631344740844
"'market for electricity, high voltage' (kilowatt hour, CU, None)",,1.0499055076173755e-05,,6.564936285563717e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.018310694649539237,0.011449463103725903
"'market for electricity, high voltage' (kilowatt hour, CL, None)",,8.127285464167456e-05,,9.294037124616886e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.14174251052528358,0.16209104020850745
"'market for electricity, low voltage' (kilowatt hour, MA, None)",,4.689266308577573e-06,,5.11595906169841e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.008178233458513096,0.008922399543449403
"'market for electricity, low voltage' (kilowatt hour, AR, None)",1.7892489082980838e-05,1.7892489082980838e-05,3.256464758348003e-05,1.875669373099423e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.031205084813982587,0.03271228592014658
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,1.6485743491762926e-05,,6.507938316120786e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0287516745991117,0.01135005678510569
"'market for natural gas, high pressure' (cubic meter, IT, None)",,2.5885299689859092e-06,,1.3928110303886693e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.004514480732732356,0.0024291078860833445
"'market for electricity, low voltage' (kilowatt hour, IN-Southern grid, None)",,5.321750553356069e-06,,5.796601043359866e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.009281306620122238,0.010109461369626831
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,8.903876733893893e-06,,4.929824633034133e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.015528651568030847,0.008597775026070445
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,9.484878471493558e-05,,0.0001237330721589361,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.1654193755718448,0.21579451540293912
"'market for electricity, high voltage' (kilowatt hour, SE, None)",,2.725126924435672e-05,,1.1098759544181984e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.04752710280358355,0.01935659881081781
"'market for electricity, low voltage' (kilowatt hour, BY, None)",6.131762374704357e-06,6.131762374704357e-06,1.3138449094983007e-05,7.687913065807704e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.010693993668205701,0.013407971252543434
"'market for natural gas, high pressure' (cubic meter, DE, None)",,2.4308901862774018e-05,,1.3549662223982296e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.04239551807714549,0.023631053060267852
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,2.6953578705896755e-05,,2.2087128056145945e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.04700792079051196,0.038520672059256314
"'market for electricity, low voltage' (kilowatt hour, CN-SWG, None)",,1.058392769414133e-06,,1.6327403794598956e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0018458715264769465,0.0028475525000444526
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-6.263295073518269e-05,6.263295073518269e-05,0.00010280080218118617,5.632545564611285e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.1092339098700604,0.0982334326136332
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,7.42286774624212e-06,,4.405848112112534e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.012945723566476086,0.007683942875604208
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",-4.1536788166337755e-07,8.456890313290888e-06,1.4039108177726744e-05,6.292305931661217e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.01474909266479906,0.010973986870266255
"'market for electricity, high voltage' (kilowatt hour, TN, None)",,4.5859471176702344e-06,,2.5902946362466226e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.007998041418142242,0.004517558370018238
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,1.8774304647815614e-05,,1.3903686537066823e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.032742999933748296,0.024248483014522943
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,4.3551677796565344e-05,,5.124174626956943e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.07595554722041237,0.08936727757343979
"'market for electricity, medium voltage' (kilowatt hour, IE, None)",1.5455421526855806e-05,1.5465399220723806e-05,3.057049169970668e-05,1.7892236249722636e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.02697216089536867,0.03120464386453003
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,6.159041334322123e-05,,2.9292741142629503e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.10741569063924082,0.05108749640983474
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,2.276912659838451e-05,,2.3978016703046793e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.03971009977134641,0.04181844356140371
"'market for electricity, high voltage' (kilowatt hour, RO, None)",,1.2168780953599385e-05,,7.552050652829097e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.02122275106491685,0.013171022770956128
"'market for electricity, low voltage' (kilowatt hour, FR, None)",,9.952833307278354e-07,,1.4628316362050571e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0017358066060717712,0.0025512261074830253
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,1.1710193512991455e-05,,6.87041265704909e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.020422959604241352,0.01198222386365482
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",9.868947841515288e-06,9.868947841515288e-06,1.14565671720239e-05,6.935591506609408e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.017211767071144104,0.012095897904151632
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.00027222654923867096,0.00027226398797528575,0.000689288202574327,0.0004146496390242659,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.4748372793276291,0.7231625009707063
"'market for electricity, low voltage' (kilowatt hour, BG, None)",,3.1627164471118e-05,,4.99135602952287e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.05515880686973679,0.08705087789389673
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,1.554295803940072e-05,,9.718670527238885e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.027107426005977982,0.016949678531318017
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.0005071071842463779,,0.0007849539311677055,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.8844114768380694,1.36898526993968
"'market for electricity, low voltage' (kilowatt hour, ID, None)",,0.0002225035530257115,,0.00015965644619880294,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.3880534570332164,0.27844605195101735
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,1.889248389869598e-05,,8.768779321016218e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0329491084036136,0.01529303727158243
"'market for electricity, low voltage' (kilowatt hour, AZ, None)",,9.273792536762627e-05,,0.00013563183256018544,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.16173796799027865,0.23654634181346476
"'market for natural gas, high pressure' (cubic meter, US, None)",,1.7520478898008697e-05,,1.530063366911533e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.03055628691225504,0.02668480439686698
"'market for natural gas, high pressure' (cubic meter, SA, None)",4.2986164565791616e-07,6.098174199242225e-07,6.714899350267555e-07,2.2976741598908711e-07,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0010635414794177508,0.0004007218710698576
"'market for electricity, high voltage' (kilowatt hour, MN, None)",,6.471649513528818e-05,,3.896267815096428e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.11286767929238378,0.06795218209395112
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,7.731318073128612e-06,,8.976669278779256e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.013483671001668267,0.015655604141618498
"'market for electricity, low voltage' (kilowatt hour, KZ, None)",,6.834536593899884e-05,,9.766893685224101e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.11919654838843863,0.17033781292423406
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.00015320326395244912,,0.0001070966707386708,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.26719149153834115,0.18678008846037134
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,6.515268764884822e-07,,1.1034451418037748e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.0011362841326951459,0.0019244443340371389
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,3.976899178573688e-05,,4.824253080801274e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.06935841938397036,0.08413654794050644
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",3.6498069881776664e-05,3.6609322711837756e-05,3.750168557229863e-05,2.276682117755514e-05,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.06384785341531901,0.03970607904219135
"'market group for electricity, low voltage' (kilowatt hour, Europe without Switzerland, None)",,0.0015774447352016124,,0.0024954025291246853,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,2.7511150920951684,4.352063438754921
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.00016969332655459473,,0.00013777707081126856,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.29595069880689795,0.24028770732503704
"'market group for electricity, low voltage' (kilowatt hour, RAF, None)",,0.00020186822491170323,,0.00015531008259813837,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.3520647714470123,0.270865852004429
"'market for electricity, high voltage' (kilowatt hour, PE, None)",,7.999631743522323e-06,,3.755575399613254e-06,10,_market_for_drying_of_lentils___litre__GLO__None_,315,691.0246171951294,2630,0.05733837670892485,0.013951618798230054,0.006549846045831098
