names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Manufacture of chemicals and chemical products,,0.00273885179152295,,0.00036986787906663894,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.002324777083127669,0.00031394921466744625,98
"Waste collection, treatment, and disposal activities",,4.274427498475041,,0.5408575488127355,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,3.628195991729784,0.4590877237710203,19
"Electricity, gas, steam and air conditioning supply",,6.682754782005003,,0.6094939177080003,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,5.672419083592787,0.5173472681431099,10
Mining of metal ores,,0.0015017264883079582,,0.0002154754293572836,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.0012746872013847993,0.00018289866640369118,10
Manufacture of basic metals,,0.03347826125334946,,0.015608789795297298,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.028416833209317403,0.013248966929782887,10
Manufacture of coke and refined petroleum products,,0.0014890732103573123,,0.0002542094860241462,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.0012639469157303684,0.000215776694909797,9
Construction of buildings,,4.076976936982649e-05,,3.570481902334945e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,3.460597094327249e-05,3.0306767704486834e-06,6
"Wholesale trade, except of motor vehicles and motorcycles",,0.010143987374286137,,0.001479236125594936,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.008610363456784084,0.0012555970556572024,4
Forestry and logging,,0.011879618435587203,,0.002286515676748273,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.01008359224870554,0.0019408276351312735,4
Manufacture of wood and products of wood and cork,5.924193994548382e-05,6.152527559142054e-05,5.542895714134732e-05,6.452871507095322e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,5.222354534507862e-05,5.4772908291328424e-06,4
Manufacture of other non-metallic mineral products,,0.002431749761399246,,0.0006437403598645936,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.002064104430440399,0.000546416144433066,4
Civil engineering,,0.001388948812136116,,0.00013685575459078004,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.001178959875844886,0.00011616514736267494,2
Land transport and transport via pipelines,,0.03404156297234752,,0.005462035264611312,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.028894971869929235,0.00463625467055403,2
Mining of coal and lignite,,0.003623519718769063,,0.0007633818190371392,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.003075696037488543,0.0006479695484314722,1
Manufacture of rubber and plastic products,0.00018764050135401794,0.00019396924825400456,0.0002779944618528645,2.455188064548849e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.00016464390828598542,2.083999201745018e-05,1
Other mining and quarrying,,0.0005364220557803975,,5.52751056246614e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,0.00045532281302051265,4.691831052027094e-05,1
Specialized construction activities,-2.49188206391528e-08,4.8404168685895545e-06,1.1952799878053905e-05,1.2503076069881e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,186,1303.9642548561096,5400,117.8113726,4.108615969549916e-06,1.0612792121803188e-06,1
