names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.0060402517221720695,,0.003026491896453114,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.8311088174915403,0.41643034378447413
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,3.2029546400349345e-05,,3.407432316444017e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.004407107461410932,0.004688458649507873
"'market for electricity, high voltage' (kilowatt hour, TM, None)",-0.857849744857754,0.857849744857754,0.009329880095484015,0.005422137086347982,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,118.03588986482922,0.746059295106861
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,4.4781088434326346e-05,,4.3760073192605474e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0061616566935481145,0.0060211700368293895
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",-6.768056566857847e-06,6.768056566857847e-06,5.214862150361923e-06,3.3019160299568657e-06,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0009312511710976072,0.00045432734484234064
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.0001778830341974659,,0.00014365498335711387,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.024475827333649582,0.019766216514858128
"'market for natural gas, high pressure' (cubic meter, VE, None)",6.802770229142122e-05,6.802770229142122e-05,6.102136022766428e-05,3.169523817709466e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.009360275996537187,0.004361108300301967
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,3.689133461676405e-05,,2.2627066854607024e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.005076065518341995,0.0031133726940227595
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.0004015391198941815,,0.00019113376329538248,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.05524980058146329,0.026299062241401078
"'market for natural gas, high pressure' (cubic meter, NG, None)",-6.997424532174823e-05,6.997424532174823e-05,5.29309869340584e-05,3.1331350791997184e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.00962811070782795,0.004311039192549667
"'market for natural gas, high pressure' (cubic meter, CO, None)",-1.5180602123254609e-05,1.5180602123254609e-05,2.3790194948672478e-05,1.4437838321801515e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.002088775908652154,0.0019865752764441948
"'market for natural gas, high pressure' (cubic meter, BR, None)",,0.0012193156554353532,,0.000845401980061276,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.16777181467751592,0.11632313888088623
"'market for natural gas, high pressure' (cubic meter, KZ, None)",1.1172967107841124e-05,1.1174982515785824e-05,8.597890095426995e-06,5.114904731871632e-06,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0015376224255838748,0.0007037856398738039
"'market for natural gas, high pressure' (cubic meter, CH, None)",,0.00019621416559425752,,0.00013367850472780068,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.026998100516825958,0.018393502307285918
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,2.17933423179325e-05,,2.509722688321921e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0029986563137027566,0.00345325451928823
"'market for natural gas, high pressure' (cubic meter, AE, None)",-0.00011845285866811175,0.00011845285866811175,8.901035754928502e-05,5.044357250443278e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.016298528575353043,0.006940786547076557
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.0004892602223275487,,0.00028564122849115476,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.06731979121526971,0.039302822888438504
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,1.3955665820586217e-05,,9.220959614321499e-06,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0019202307206633506,0.0012687585209512028
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.0003007730684548062,,0.00012336658756498505,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.041384889364658006,0.01697463341349476
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.0003765077877127612,0.0003765077877127612,0.00025079394284619936,0.00012726753957039824,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.051805612847834005,0.017511385151242592
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.00016551921364967712,,0.00011532451342154605,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.022774626663910738,0.0158680837134221
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,4.793684064281713e-05,,3.312261404435274e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.006595872618137421,0.004557508172975855
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,9.94942215960793e-05,,4.4962038894386376e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.013689913709129873,0.006186554583537204
"'market for natural gas, high pressure' (cubic meter, MY, None)",0.0004988094154274889,0.0004988094154274889,0.00036032665680940933,0.00020757108198807438,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0686337130434209,0.028560756145856802
"'market for natural gas, high pressure' (cubic meter, KW, None)",1.842363747498292e-05,1.842363747498292e-05,1.7486245305293715e-05,1.183577164687483e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.002535001562852033,0.0016285437478418083
"'market for natural gas, high pressure' (cubic meter, LY, None)",2.3067761361660574e-05,2.3067761361660574e-05,1.6076860674164845e-05,8.9721899972602e-06,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.003174010082575266,0.0012345290497679572
"'market for electricity, high voltage' (kilowatt hour, QA, None)",-0.00012759544654918786,0.00012759544654918786,9.795615002404522e-05,6.149382268183821e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.017556503532714793,0.008461246418677166
"'market for natural gas, high pressure' (cubic meter, AZ, None)",-4.2825372783721756e-05,4.2825372783721756e-05,2.325585765306062e-05,1.4431570670692287e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.005892559874990496,0.001985712878593668
"'market for natural gas, high pressure' (cubic meter, ID, None)",0.00038335150424419364,0.00038335150424419364,0.000249445992153414,0.00013031536686419415,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.05274727445653941,0.017930751140372972
"'market for natural gas, high pressure' (cubic meter, CN, None)",-0.0006955689533862455,0.0006955689533862455,0.0005546996951483885,0.00032507836749357444,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.09570685410521085,0.044729178522134524
"'market for natural gas, high pressure' (cubic meter, QA, None)",-0.0004350486813324124,0.0004350486813324124,0.0001341536478201777,8.386041730508431e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.05986055080555715,0.011538779419562451
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-2.9904430940594187e-05,2.9904430940594187e-05,3.311068945558062e-05,2.078351612022185e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.004114702065406183,0.0028597092142018314
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.0006971030916331533,,0.0004472337075836437,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.09591794395426065,0.06153715026276032
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.00010594291876854465,,8.879622645783539e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.01457722260417066,0.012217922391907273
"'market for electricity, high voltage' (kilowatt hour, AE, None)",,0.0005955986358674762,,0.0004141211670779254,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0819514319475064,0.05698102815896957
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,6.943709683271317e-05,,9.71588671603596e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.00955420172752824,0.013368580467938946
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.0004890376866693157,0.0005153729980214496,0.000834244829704255,0.0004492414113972226,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.07091278023735234,0.06181340039588835
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-2.1701167556127143e-05,2.1701167556127143e-05,3.8237801647386595e-05,2.1978345153974776e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.0029859735215261637,0.003024111790621256
"'market for electricity, high voltage' (kilowatt hour, MY, None)",,0.00014291653535110032,,9.441256536750951e-05,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.019664609714796458,0.012990702899169386
"'market for natural gas, high pressure' (cubic meter, MX, None)",,0.007011136436930398,,0.005143360019939931,10,_market_for_electricity__medium_voltage___kilowatt_hour__TM__None_,73,97.13989424705505,410,0.7267702610114051,0.964697761184311,0.7077009470341024
