names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, medium voltage' (kilowatt hour, PH, None)",-0.004887263877462323,0.004887263877462323,0.004943684331570628,0.0026630870660584826,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.093999485539988,0.05122064624177299
"'market group for electricity, high voltage' (kilowatt hour, IN, None)",,0.0012806682686486658,,0.0009226770371039627,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.02463181064470563,0.017746364628948064
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.04974983544257615,0.04974983544257615,0.03680650936447008,0.020072034212805262,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.9568664705965166,0.3860566846913165
other,,0.3655236089261965,,0.1882258292190033,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,7.030320451946402,3.620252876771407
"'market for ferronickel' (kilogram, GLO, None)",-0.0008018088419816216,0.0008018088419816216,0.0004919432158480255,0.00033982495295331214,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.015421638883722626,0.006536043797137538
"'market for electricity, high voltage' (kilowatt hour, BR-South-eastern/Mid-western grid, None)",,0.00048516373043594463,,0.00028958822033250785,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.009331425969027144,0.005569812560198984
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",4.126668740309647e-05,4.126668740309647e-05,4.323804649664628e-05,2.5748182293836145e-05,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.0007937053294214062,0.0004952292222999749
"'market for cast iron' (kilogram, GLO, None)",-0.0001959528177032932,0.000510316156247137,0.0010246529865529192,0.0004528519059415844,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.009815196672965982,0.008709954537264525
"'market for steel, low-alloyed, hot rolled' (kilogram, GLO, None)",0.00018599428214942647,0.00018599428214942647,0.00015269211442229492,0.00010058444531539045,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.0035773322811666103,0.001934597015842153
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.0062342681116017385,,0.009997792729825624,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.11990717299128151,0.1922931514856159
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.010873352798125846,,0.006251497334437616,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.20913328904379344,0.12023855229132192
"'market for electricity, high voltage' (kilowatt hour, UZ, None)",,0.3038760505239207,,0.288542856437943,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,5.844618406813692,5.549706490472666
"'market for electricity, high voltage' (kilowatt hour, AE, None)",,0.02092125085254217,,0.011081676262243632,10,_market_for_ferrochromium__high_carbon__68__Cr___kilogram__GLO__None_,182,359.1426110267639,1330,5.199245346277186,0.4023901443220488,0.21314009099759912
