names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, low voltage' (kilowatt hour, CA-AB, None)",,0.00713112051523197,,0.007568546739183634,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.0016857323568763016,0.0017891359577390975
other,,19.256731284196572,,9.519580160194703,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,4.5521170122009,2.2503426026303646
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.5980810337410993,,0.44757341051880767,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.14138094405470894,0.1058023039405177
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.5634123616151719,,0.3439897182230924,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.13318558369755612,0.08131605646024698
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.8405958500145374,0.8405958500145374,1.0061220620709188,0.5557393994863178,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.1987092519890403,0.13137176488660376
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.26977143982264234,,0.3186009159589764,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.06377152708312393,0.07531437336043999
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,0.9196393662993116,,0.8418610586992175,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.21739442393612923,0.19900833587261937
"'market for electricity, low voltage' (kilowatt hour, FR, None)",,0.0061831924906869075,,0.003966066422456606,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.0014616507501284924,0.0009375422114343912
"'market for copper, anode' (kilogram, GLO, None)",,0.00647367502792946,,0.005631889324118881,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.0015303181932170443,0.001331327670558177
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.158760486910424,,0.10638264976522287,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.03752954240595001,0.0251478956969558
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.14701369846394385,,0.06279858540245185,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.034752707919516124,0.014845017294666949
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.10932344890092269,,0.11584817475750031,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.025843073999935552,0.027385460147061624
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",1.2279309882447578,1.2279309882447578,0.6979149386334215,0.4089860142692065,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.29027177348550914,0.09668059266293962
"'market for ferrosilicon' (kilogram, GLO, None)",1.4752160275810702,1.4752160275810702,0.5199153589054474,0.3017103687017048,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.3487277189838711,0.07132160083947177
"'market for electricity, low voltage' (kilowatt hour, PK, None)",,0.619938186799434,,0.7574112781124516,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.14654777724185414,0.17904517196841424
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.37631829575724896,,0.2820934764119957,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.08895823963254178,0.06668434502483712
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.6713845124719173,,0.5474556528657701,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.15870922306839128,0.12941356214909644
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.7694380436779497,0.7694380436779497,0.4722565894940568,0.23822814867139305,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.18188819051213698,0.05631497850531587
"'market group for electricity, low voltage' (kilowatt hour, CA, None)",-4.360067845148806,4.360067845148806,4.610587782618372,2.774614908548877,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,1.0306805822512717,0.6558938555619229
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,6.557162892349276,,4.163342314649861,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,1.5500539688442228,0.9841764471048555
"'market for steel, unalloyed' (kilogram, GLO, None)",3.422492986848635,3.4284194066426688,1.9107515703074034,1.1861963109797593,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.8104473223212941,0.28040607345714424
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,0.016802966564514323,,0.028588633499393088,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.003972069237760038,0.006758094247021295
"'market for cast iron' (kilogram, GLO, None)",0.03759728412842733,0.041341786334319154,0.02927193634820885,0.014154945396990358,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.009772824167810506,0.003346100996969018
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,2.0895957877570415,,1.9250422202576292,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.49396153447280305,0.45506256023997665
"'market for electricity, low voltage' (kilowatt hour, KR, None)",,0.6137596938523486,,0.597443211395236,10,_market_for_furnace__logs__softwood_storage_area__6kW___unit__GLO__None_,319,789.6736977100372,2230,423.0280380004148,0.14508723742130464,0.1412301686241067
