names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.0011537213389515861,,0.001858890901422984,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.7823776914414482,1.2605771627821616
other,,0.013259729497304043,,0.010721039481408732,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,8.991873689938002,7.270301619747685
"'market for transport, freight train' (ton kilometer, CN, None)",,0.000581800940300848,,0.0008248055465556101,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.3945390114433364,0.5593287023612549
"'market for transport, freight train' (ton kilometer, IN, None)",0.0001466049065259989,0.0001466049065259989,0.00016807250579821805,9.170754299737858e-05,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.09941777485543546,0.062190004948038204
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.0006914365926158032,,0.0011183252559900398,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.4688866772634027,0.7583744033522377
"'market for ammonium nitrate' (kilogram, RER, None)",3.9439146071865164e-06,2.291517548132088e-05,2.5471592010600566e-05,4.311899138903035e-06,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.01553956010586005,0.0029240455039940016
"'market for chemical, organic' (kilogram, GLO, None)",,0.0024821238389875293,,0.001563526497366756,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,1.6832126211547336,1.0602805116085907
"'market group for transport, freight train' (ton kilometer, RER, None)",-0.0001595099067498322,0.0001595099067498322,0.000195556319644933,0.0001204457017613166,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.10816909455655936,0.08167832812531381
"'market for titanium dioxide' (kilogram, RoW, None)",-2.231299189668079e-05,2.231299189668079e-05,3.0156868958157312e-05,1.65650605056929e-05,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.015131198929839173,0.011233331099526251
"'market for synthetic rubber' (kilogram, GLO, None)",-0.00037943355952948577,0.00037943355952948577,0.00019731475165106992,0.00011401778059901444,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.25730680567099024,0.07731933609670176
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.00017849456400349028,,0.0002506381538390266,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,0.12104323652954357,0.16996625924065786
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.010847172898759314,,0.005737831835797575,10,_market_for_grass_silage__organic___kilogram__GLO__None_,181,66.06418251991272,280,0.14746347596209913,7.3558369813195235,3.8910189783348823
