names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for chemical factory, organics' (unit, GLO, None)",-1895962.596022272,1895962.596022272,1158419.8975408995,666786.387203901,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.011103388869120863,0.0039049233172077495
other,,1035128557.0498085,,406066632.43465585,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,6.062057828867088,2.378061537793853
"'market for copper, anode' (kilogram, GLO, None)",,104912.65628795624,,66749.01658195328,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.0006144034816412127,0.00039090448793438
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,626191381.7775005,,605696214.3120197,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,3.6671854354905404,3.5471589039627456
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,12407905.97267895,,20265391.820343755,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.07266483281641876,0.1186808887677732
"'market for ferrosilicon' (kilogram, GLO, None)",-1264131.998815775,4252936.216671228,5351004.497078844,1803979.1306626997,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.024906611949170324,0.010564703038736134
"'market group for transport, freight train' (ton kilometer, GLO, None)",,25470837.792253114,,11063446.020059774,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.1491657153063182,0.06479122723780156
"'market for pipeline, petroleum' (kilometer, GLO, None)",-379346.18363575934,379346.18363575934,308721.5926287872,188951.04377763398,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.002221577683948829,0.0011065602879987957
"'market for steel, unalloyed' (kilogram, GLO, None)",90342094.46179219,90365637.98692541,59513079.03732911,37902307.14295386,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.5292112940835919,0.22196854311788877
"'market for cast iron' (kilogram, GLO, None)",3433777.048284912,3433777.048284912,1722961.6335641597,1073767.6841023865,10,_market_for_hydropower_plant__reservoir___unit__GLO__None_,233,2107.175365447998,460,17075530888.54745,0.020109342840918316,0.006288341434951003
