names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.09470040147305835,,0.008254504883924249,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,2.3526244932064966,0.20506513242964058
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.0026888044512256007,,0.0002991059321807175,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.0667974698206072,0.0074306331458574735
"'market for electricity, high voltage' (kilowatt hour, SK, None)",,0.007398110343932144,,0.0012532873719262542,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.1837898818573721,0.03113518551512096
"'market for electricity, medium voltage' (kilowatt hour, IE, None)",0.002613285182579348,0.002613285182579348,0.004676923362593596,0.000505450570594708,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.06492135864934928,0.012556814691272572
"'market for electricity, high voltage' (kilowatt hour, XK, None)",,0.024954635117677485,,0.005084285311989737,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.6199433675429701,0.12630795613722962
"'market for ammonia, anhydrous, liquid' (kilogram, RoW, None)",0.007339698887577292,0.007339698887577292,0.006060969332834286,0.0006564347866231884,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.1823387768909018,0.016307687540710682
"'market for inorganic phosphorus fertiliser, as P2O5' (kilogram, IS, None)",,2.7807603988557315,,0.17387607244763476,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,69.08191435648604,4.319570988716761
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.007440021981964325,,0.0011684042641240382,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.18483108490034933,0.0290264502260547
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",0.006436366399594419,0.006436366399594419,0.011504104004156272,0.0012237025582548344,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.15989745559046067,0.030400215481333575
"'market for electricity, high voltage' (kilowatt hour, AT, None)",,0.006772891099271231,,0.0008774052748945448,300,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,249,14854.529531002045,53700,4.02530883047923,0.16825767623064314,0.021797216358926823
