names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.1464279624378817,,0.08781713274966946,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,4.598972534558347,2.7581383695803665
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.00021111445476496016,0.00021111445476496016,0.0003618682765787692,0.00020884783994327508,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.006630629580222396,0.006559440313242227
"'market for ammonia, anhydrous, liquid' (kilogram, RAF, None)",0.0629286795419029,0.0629286795419029,0.04893051821462435,0.03098244666361429,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,1.976448104794252,0.9730888751513403
"'market for natural gas, high pressure' (cubic meter, KZ, None)",1.2915850157851904e-05,1.2915850157851904e-05,5.280682641616317e-06,2.7687858436258723e-06,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.00040565776609526185,8.696132785642797e-05
other,,0.11388474817096751,,0.04434126504132807,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,3.576863463940928,1.3926592754382527
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.0002415997374333123,0.0002485027583825461,0.00020993540073941866,0.00011862861924946692,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.007804911995877471,0.003725857771000003
"'market for natural gas, high pressure' (cubic meter, QA, None)",-0.0003428325661379128,0.0003428325661379128,0.0001816126811629973,0.00011211360569113672,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.01076759882040484,0.003521235867381378
"'market for ethylene dichloride' (kilogram, RoW, None)",0.0024226316852878236,0.0024226316852878236,0.0026088692343758497,0.001523101447675259,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.07608940530546579,0.047837186344624166
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",,0.00012529374426935026,,0.00015187398324618124,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.003935194337564909,0.004770019783342049
"'market for monoethanolamine' (kilogram, GLO, None)",-0.0008085188106778163,0.0008179029223101097,0.000708886944485167,0.00037947251656396516,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.02568848881739326,0.011918377147655541
"'market group for electricity, high voltage' (kilowatt hour, US, None)",,0.00036018235395113285,,0.00031980454114876656,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.011312516582729528,0.010044340416156166
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",-3.396035657274865e-05,9.904825456480415e-05,0.00010753764744327497,2.486409386538299e-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.00311088261255237,0.0007809251927007235
"'market for natural gas, high pressure' (cubic meter, IR, None)",-0.0007187281989963934,0.0007187281989963934,0.0005008885179149692,0.00029866476961636166,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.02257363410625368,0.009380387800510011
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Gulf Cooperation Council, None)",-0.0006761088961970696,0.0006761088961970696,0.0006749041227716777,0.0004171047002713893,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.02123505778686205,0.013100319287698076
"'market for transport, freight train' (ton kilometer, CN, None)",,0.04770297780134146,,0.022005971127740248,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,1.4982431024271352,0.691157994195917
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.013467986059683135,0.013467986059683135,0.011831050469526984,0.0066317340941046245,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.4229991113246107,0.20828783278480595
"'market for electricity, low voltage' (kilowatt hour, PH, None)",,0.0020453716111873575,,0.0028271435862947843,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.0642405159930196,0.08879421312809871
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.29917678372669837,,0.09442251220308312,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,9.39646901062549,2.9655984624534923
"'market for electricity, low voltage' (kilowatt hour, TW, None)",,0.0019607687861712074,,0.0014532184362059616,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.061583331790511966,0.045642318335613476
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.004768442299851239,0.004768442299851239,0.002471731203381229,0.0014828791468122036,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.14976603378569375,0.04657389445784121
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.003448416935412102,,0.001884723856204372,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.10830700987452427,0.05919493179854832
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.014166915787276219,,0.00737113272781288,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.4449509200315751,0.23151067869415062
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.019525342565960942,,0.02424137252565897,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.6132470376127185,0.7613669178303134
"'market for electricity, low voltage' (kilowatt hour, AU, None)",,0.005185413417262618,,0.002299718294161631,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.16286215753659652,0.07222897249941217
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.011522684499904597,,0.0052444083971462255,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__RoW__None_,293,624.679584980011,2140,3.183927743372436,0.36190157028185876,0.16471505699407976
