names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.882967780257956,,0.3208523612173738,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,10.894360882287037,3.9587870488488206
"'market for bitumen adhesive compound, hot' (kilogram, GLO, None)",-0.0005559129425859122,0.0011155866565914052,0.0015144985752135055,0.0006499940430039622,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.013764492775512322,0.008019850592683229
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.010813367244578353,0.010813367244578353,0.006264281745693109,0.0037765753395477128,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.13341905304939,0.04659668854072862
"'market for soda ash, light' (kilogram, GLO, None)",0.2812551951303627,0.2812551951303627,0.12922944492018648,0.07058132527919565,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,3.4702235622607494,0.8708567247119748
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",,0.0022984915959694875,,0.000960597908067529,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.02835958173250666,0.01185218816274395
"'market for chlorine, gaseous' (kilogram, RoW, None)",,0.00032345074947177227,,0.00016829026334295576,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.003990846858944544,0.00207642328839865
"'market for quicklime, milled, loose' (kilogram, RoW, None)",,0.26054529531508974,,0.17637994792218215,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,3.214697678453666,2.1762366057138265
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, RoW, None)",,0.0011256559244984365,,0.0006134236030185501,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.013888730874401482,0.0075686318962221825
"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RER, None)",,0.011277019406654692,,0.0067743836805360435,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.13913975327249054,0.08358468136773278
"'market for concrete, 25MPa' (cubic meter, RoW, None)",,0.000523644111782362,,0.0005254588185726281,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.0064609015812276595,0.006483292059239123
"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RoW, None)",,0.025365038605715182,,0.01353018701132415,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.3129625910959893,0.16694011197456693
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",-0.0023870732518775197,0.0023870732518775197,0.0011212306104794716,0.0006718749077187611,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.02945253274226009,0.008289824245119197
"'market for ammonium nitrate' (kilogram, RoW, None)",-9.792750797735228e-05,0.0001281581677333332,0.00019053931119473108,0.00010327194249002353,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.0015812596569398155,0.0012742048301835206
"'market for clay brick' (kilogram, GLO, None)",0.0004786066206703299,0.0004786066206703299,0.00042740747237889515,0.0002545920010581033,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.005905213488889874,0.0031412438814701457
"'market for synthetic rubber' (kilogram, GLO, None)",-0.00028767554294447105,0.00033877932348505557,0.00027334831307864626,0.00012919252468269178,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.004179976089756079,0.001594021909582966
"'market for lithium carbonate' (kilogram, GLO, None)",,7.695901816420663,,2.6609989716402844,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,94.95468982825271,32.8323227105463
"'market for ammonia, anhydrous, liquid' (kilogram, RoW, None)",0.003198183800790752,0.003198183800790752,0.0017359074028332623,0.0010160609600395026,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.039460294330920916,0.012536510419258448
"'market group for concrete, medium strength' (cubic meter, GLO, None)",,0.00027422265126906544,,0.00012024340976736196,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.0033834536115802142,0.0014836046444861833
"'market for explosive, tovex' (kilogram, GLO, None)",-0.003612631309318837,0.003612631309318837,0.0022841687646084938,0.0013097054172010677,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,0.04457389057488647,0.016159596967746968
"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)",,0.08703306615008789,,0.051704476017652844,10,_market_for_lithium_carbonate___kilogram__GLO__None_,242,84.53467988967896,290,8.104814865216728,1.0738439754325046,0.6379476505941167
