names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,0.03181639486252263,,0.0011839850120700928,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.027006216938450834,0.001004983632683771,132
Manufacture of chemicals and chemical products,,0.00927509007227225,,0.0007143107942146993,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.007872830837616649,0.000606317351585376,19
"Wholesale trade, except of motor vehicles and motorcycles",,0.02746487872137681,,0.0023964701304986093,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.023312586989905598,0.0020341585685749062,18
Manufacture of coke and refined petroleum products,,0.01770998422291394,,0.0016185267498612821,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.015032491203581766,0.001373828955678666,15
Civil engineering,,0.00024890593453120893,,2.2874690262089117e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.00021127496356086845,1.941636851966286e-05,10
Manufacture of rubber and plastic products,,0.0007516783882681588,,8.31497208575693e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.000638035506826918,7.057868779772565e-05,8
Manufacture of basic metals,,0.0018285625035721073,,0.0001422132170716609,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.0015521103465796539,0.00012071263913927176,6
Land transport and transport via pipelines,,0.003890574036984759,,0.0003805743973442194,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.0033023756120678276,0.0003230370625053047,6
Mining of metal ores,,0.00012102666399758438,,1.2915586232656529e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.00010272918592375722,1.0962936724715259e-05,5
Mining of coal and lignite,,0.0007606360256069909,,8.563237291478036e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.0006456388791849038,7.268599883436072e-05,4
Extraction of crude petroleum and natural gas,,0.0001501821597251447,,1.2526450893334719e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.00012747679312340404,1.06326330106222e-05,4
"Waste collection, treatment, and disposal activities",,0.0004953819151470653,,5.393336106113059e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.00042048734703144036,4.577941829457184e-05,3
Specialized construction activities,1.3091019665280773e-09,2.3163505668416516e-09,2.1723342040004875e-08,2.194224780290802e-09,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,1.966151922112188e-09,1.8624897850403298e-09,2
Manufacture of other non-metallic mineral products,,5.393013144912438e-05,,4.544609228091682e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,4.5776676953107994e-05,3.857530158418409e-06,1
Manufacture of electrical equipment,-4.295798869649863e-06,4.326505163416607e-06,2.1954424291783134e-06,2.3499712482198435e-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,3.6724002682713905e-06,1.9946896435869585e-07,1
Other mining and quarrying,,0.0004046320668307586,,3.4505232057076526e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,0.00034345756093054683,2.9288540907023204e-05,1
Construction of buildings,,2.2614467322925014e-05,,1.7577745492050076e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,1.919548751860057e-05,1.4920245052853308e-06,1
Manufacture of wood and products of wood and cork,,1.0387644672986834e-05,,1.0267125657535684e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,237,1372.0608718395233,5700,117.8113726,8.817183302205949e-06,8.714885015723586e-07,1
