names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, ES, None)",,0.00012750814441265802,,7.992923593087647e-05,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.015640954236223442,0.009804624850356132
other,,0.033380661234223445,,0.023549234842983536,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,4.094682713361926,2.8886978645469084
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.00013425996176068817,,6.336828029328132e-05,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.016469174791375645,0.007773153445694721
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.014486234154777825,,0.00927078891772167,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,1.7769729652469473,1.1372135157617211
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.003811363121942244,,0.002858732443983583,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.4675258701514786,0.3506701751164032
"'market for transport, freight train' (ton kilometer, CN, None)",,0.0034245000877745485,,0.0014908028635586342,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.42007080725352947,0.182871293998979
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.0002535154794000379,,0.00021911520924627876,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.031097809710393703,0.026878055327902224
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",-7.9627696236928e-06,7.578293136135672e-05,0.00011059606347253751,4.469212999429302e-05,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.009296012947014336,0.005482218905937525
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.016497403715371638,,0.009263016934870852,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,2.023675724536813,1.1362601552634226
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.003228798174945154,,0.0030240871974447233,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.39606477472434715,0.37095363342834886
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.0038110972377438123,,0.002866879921264899,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.4674932551165806,0.3516695961328782
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.0011732514921518305,,0.0015123623085826585,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.14391843737399668,0.18551591167836282
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.00035335006649672707,0.00035335006649672707,0.00033779058381893827,0.00016227386420828428,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.04334415064151123,0.019905536979682895
"'market for hard coal' (kilogram, CN, None)",,0.002022380012441161,,0.001383336277458275,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.2480779041099826,0.16968876387228365
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.0003285932854390272,0.0003285932854390272,0.0004634541333890296,0.00029484167194122706,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.04030732753234169,0.036167141471682596
"'market for natural gas, high pressure' (cubic meter, VE, None)",0.0004999466110072847,0.0004999466110072847,0.0006601638808079882,0.00038394210149023735,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.061326608581276386,0.04709676284938632
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.0011853177714019783,,0.0007420569455082186,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.14539856338808302,0.09102539119229468
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.001623422405079536,,0.0007264180285986773,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.19913924448412024,0.08910702288089797
"'market for natural gas, high pressure' (cubic meter, GR, None)",,0.0001857587583758008,,0.00010990705292583697,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.02278634241065121,0.013481893199604508
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.005101572409058268,,0.004532383360289824,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.6257910892705241,0.5559707659919194
"'market for hard coal' (kilogram, IN, None)",,0.0006485656871069889,,0.0006294594703502582,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.07955716301850746,0.07721347381107731
"'market for natural gas, high pressure' (cubic meter, IR, None)",-0.00041192159682287843,0.00041192159682287843,0.0005265876100332747,0.000292856944861971,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.05052890444368453,0.03592368231414383
"'market for natural gas, high pressure' (cubic meter, TR, None)",,0.006758404656424593,,0.006236241411448076,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.8290285960001987,0.7649767547932236
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.014771919568039091,0.014771919568039091,0.00611463762020631,0.003603113954683094,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,1.8120169422051162,0.441980712155213
"'market for chemical, organic' (kilogram, GLO, None)",,0.006817890022656684,,0.003270212503626201,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.8363254466856735,0.40114491782115047
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.0011931605659828398,,0.0005424829052640463,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.14636061010038054,0.06654437906106148
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.0021196596063897256,,0.0012657708382627344,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.2600108334461957,0.15526744464840816
"'market group for transport, freight train' (ton kilometer, RER, None)",-0.0011737643782206292,0.0011737643782206292,0.0016346830760289928,0.0009250337097314631,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.14398135121818623,0.11347047663127548
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.00041365668611743585,,0.0002985734357499434,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.0507417414540335,0.036624903187386246
"'market for titanium dioxide' (kilogram, RoW, None)",-0.0028765941862911037,0.0028765941862911037,0.0026478440712307196,0.0014221301409772492,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.3528612092287576,0.1744474641634812
"'market for synthetic rubber' (kilogram, GLO, None)",-0.0003226207467615372,0.0003226207467615372,0.0001724800446479607,9.326398949875647e-05,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.03957469822023775,0.011440349934955693
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.0012750357034605308,0.0012750357034605308,0.001905035428479586,0.0011551369266928784,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.15640393152327423,0.1416963903772527
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.0035472402731146603,0.0035472402731146603,0.006017745975082384,0.0036568020108973696,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.4351268935191821,0.4485664281825879
"'market for copper oxide' (kilogram, GLO, None)",-1.4523537885594017e-05,1.4523537885594017e-05,8.580225487471494e-06,4.7567748152751465e-06,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,0.0017815488764502993,0.0005834960389428495
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.01213850698153413,,0.0030998393065022473,10,_market_for_methanol___kilogram__GLO__None_,179,337.2484087944031,1350,0.8152197269227819,1.4889859237525414,0.38024586551692535
