names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Manufacture of other non-metallic mineral products,,0.18874978927186517,,0.020474707759483617,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.3450701863112746,0.03743162441923342,76,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Electricity, gas, steam and air conditioning supply",,8.81861173330447,,0.8848833188006511,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,16.122084191761044,1.617733470644962,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of machinery and equipment,,0.02094520782902842,,0.0016395566615301845,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.03829178721614889,0.0029974185658412497,15,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of food products,,1.281750779447341,,0.10977845696966235,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,2.3432819817957977,0.20069570803559125,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of chemicals and chemical products,,0.8976152821714133,,0.09819231072107412,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,1.641009899134793,0.1795140491841927,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of basic metals,,1.8053792631665317,,0.16841490291917496,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,3.3005735323289596,0.307894181774207,8,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Waste collection, treatment, and disposal activities",,0.5477528271584369,,0.08392286468111909,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,1.0013953967802565,0.15342681262323554,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Land transport and transport via pipelines,,54.764478041990984,,5.991795363661511,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,100.11978669798913,10.954131130179237,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of coke and refined petroleum products,,2.872843629665707,,0.4751319692383868,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,5.252099567136687,0.8686307824767023,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Civil engineering,,1.76264542618529,,0.16772330075530842,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,3.222448024767872,0.3066298026802788,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.19555568364475295,,0.02261113181873596,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.3575126438542845,0.04133741022704828,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Crop and animal production, hunting and related service activities",,0.5595017452036655,,0.06997623394737038,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,1.0228746331516596,0.12792974327934636,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of other transport equipment,-0.0038050186731633743,0.0038254091680291536,0.0018010974040899008,0.00022406071225205708,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.0069935688904392375,0.00040962520816641227,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Forestry and logging,,94.21640477615885,,3.994416311202275,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,172.24534382319277,7.302545799010431,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Unknown,,0.020505898696616343,,0.0038098290758464717,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.0374886473305126,0.006965085545726829,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Wholesale trade, except of motor vehicles and motorcycles",,5.721446112933898,,0.6081989009966672,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,10.459881750206039,1.1119022113393986,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of rubber and plastic products,,0.05876064942731978,,0.008531099197476221,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.10742554110326166,0.015596457092055089,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Mining of coal and lignite,,0.11418874671552623,,0.012922919002925071,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.20875854884809117,0.02362553137265709,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Other mining and quarrying,,0.16858508643736347,,0.019752179990046036,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.30820530931800433,0.03611070749012478,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Sewerage,0.003939974813903696,0.003939974813903696,0.0011104850310421715,0.0001429718643617536,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.007203016481979901,0.0002613795123316435,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of electrical equipment,-0.000974763784795293,0.0009989278410784763,0.0008044237120564657,9.644370722851746e-05,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.0018262283500405992,0.00017631727246042122,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Mining of metal ores,,0.14985782684898805,,0.016821173521154115,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.27396834947720433,0.030752275291594928,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Construction of buildings,,0.005511188832259301,,0.0007480080109993019,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1900.973380804062,6000,54.698955968801435,0.010075491816338706,0.001367499612654293,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of other non-metallic mineral products,,0.17353682327136855,,0.020376756212521926,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,0.31725801744799026,0.03725255053157538,76,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
"Electricity, gas, steam and air conditioning supply",,8.17302308980665,,0.797944891438586,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,14.94182648471076,1.4587936411322158,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
Manufacture of machinery and equipment,,0.01904604345521365,,0.001755477199934673,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,0.034819756826943674,0.0032093431562678124,15,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
Manufacture of food products,,1.218937511264802,,0.10923391265592693,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,2.228447489857111,0.19970017840602025,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
Manufacture of chemicals and chemical products,,0.8763121426988595,,0.09216041527595417,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,1.6020637454189808,0.16848660754790196,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
Manufacture of basic metals,,1.7847677744944273,,0.1715471995259646,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,3.2628918466239147,0.3136206102796728,8,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
"Waste collection, treatment, and disposal activities",,0.4405521159933787,,0.053107381905365396,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,0.8054122938738644,0.09709030266620843,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
Land transport and transport via pipelines,,54.85334302550033,,6.10401955262163,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,1823.3746435642242,6000,54.698955968801435,100.28224863521517,11.159298097212625,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,8
