names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Land transport and transport via pipelines,,69.2993371,,29.99773124,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,58.82228139,25.4625089,76
"Electricity, gas, steam and air conditioning supply",,7.300782285,,3.62290312,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,6.197009783,3.075172659,20
"Wholesale trade, except of motor vehicles and motorcycles",,4.086035869,,2.512640358,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,3.468286447,2.132765541,15
Manufacture of food products,,1.274093746,,0.531449668,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,1.081469231,0.451102178,11
Manufacture of basic metals,,2.556190765,,1.082309255,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,2.169731757,0.918679777,11
Manufacture of rubber and plastic products,,0.070468621,,0.055762655,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.059814787,0.04733215,8
"Crop and animal production, hunting and related service activities",,0.402721991,,0.150867923,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.341836261,0.128058879,6
Construction of buildings,,0.003840655,,0.002087278,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.003260003,0.001771712,6
Mining of coal and lignite,,0.165726993,,0.098233167,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.140671473,0.083381735,6
Manufacture of coke and refined petroleum products,,2.525788184,,1.100608016,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,2.143925606,0.93421203,5
Manufacture of chemicals and chemical products,,0.829930709,,0.444543019,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.70445721,0.377334555,4
"Waste collection, treatment, and disposal activities",,0.592095267,,0.327415381,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.502579041,0.277914919,4
Manufacture of other transport equipment,-0.003269513,0.003269513,0.001229869,0.000718134,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.00277521,0.000609562,2
Civil engineering,,1.358362116,,0.763933188,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,1.152997445,0.648437558,2
Sewerage,0.003458416,0.003458416,0.001171363,0.000676743,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.002935554,0.000574429,2
Manufacture of machinery and equipment,,0.017991031,,0.006087056,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.015271048,0.005166782,2
Other mining and quarrying,,0.170127851,,0.076589036,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.144406985,0.065009883,2
Unknown,,0.019894652,,0.004865465,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.016886869,0.004129877,1
Manufacture of other non-metallic mineral products,,0.216700729,,0.094926735,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.183938718,0.080575188,1
Mining of metal ores,,0.099618167,,0.041457632,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.084557344,0.035189838,1
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.139820064,,0.04711714,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.118681296,0.039993711,1
Manufacture of electrical equipment,-0.000525009,0.000591492,0.00039941,0.000176054,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,0.000502067,0.000149437,1
Forestry and logging,,94.66813186,,21.13585308,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,74.7016561,240,117.8113726,80.35568194,17.94041833,1
