names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,7.511517967959542,,1.7218839877894514,40,205,381.3470003604889,1000,54.698955968801435,13.732470455640646,3.147928433536391,87,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,6.326996946653593,,1.7287754886468643,40,205,381.3470003604889,1000,54.698955968801435,11.566942795512063,3.1605273958663918,21,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,2.446883756242864,,0.5630255179550985,40,205,381.3470003604889,1000,54.698955968801435,4.473364642715466,1.0293167538265822,17,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Unknown,,0.11389899010689457,,0.043380836399245,40,205,381.3470003604889,1000,54.698955968801435,0.20822881916038574,0.07930834442980604,16,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of machinery and equipment,,0.023833602084473736,,0.005366462500621623,40,205,381.3470003604889,1000,54.698955968801435,0.043572316257859976,0.009810904807182214,9,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.18898711647365965,,0.056693290317791585,40,205,381.3470003604889,1000,54.698955968801435,0.3455040651625087,0.10364601903942673,9,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.5119397343024036,,0.14766424914070428,40,205,381.3470003604889,1000,54.698955968801435,0.9359223137538455,0.269958076027863,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,4.778171330494984,,1.3324348708389124,40,205,381.3470003604889,1000,54.698955968801435,8.73539767965645,2.4359420527128366,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,2.297571496591825,,0.5989278097320436,40,205,381.3470003604889,1000,54.698955968801435,4.200393692892946,1.0949529092907242,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.8863790658338436,,0.2297200179262084,40,205,381.3470003604889,1000,54.698955968801435,1.62046797810804,0.41997148548362323,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
