names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Manufacture of basic metals,,2.087456342367859,,0.20043978096971016,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,1.7718631879923101,0.17013619020487517,76
"Electricity, gas, steam and air conditioning supply",,9.675269338193177,,0.9260504677590102,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,8.212508796619503,0.7860450543286602,20
Manufacture of chemicals and chemical products,,1.042616831533431,,0.1043924931465181,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.8849882727989123,0.08860986069736879,15
Manufacture of other non-metallic mineral products,,0.2259005949785146,,0.02106115574633751,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.19174769803039762,0.0178770141468817,11
Land transport and transport via pipelines,,62.035161983398815,,6.460335936826547,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,52.65634430219584,5.483626745238809,11
Mining of coal and lignite,,0.1654630317017546,,0.01772568479070884,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.14044741865757246,0.01504581807300736,8
Manufacture of coke and refined petroleum products,,3.0380221219117227,,0.4063807128322459,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,2.578717194159677,0.3449418369922684,6
"Crop and animal production, hunting and related service activities",,0.5684927925980131,,0.0606255303713011,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.48254491909553826,0.05145982856607605,6
"Waste collection, treatment, and disposal activities",,0.5261733177998743,,0.06988437208441699,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.44662353573145136,0.059318867561022705,6
Manufacture of rubber and plastic products,,0.07088825238449598,,0.008757553928654245,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.060170975704679955,0.007433538660472448,5
Manufacture of food products,,1.3228166029746369,,0.10841034894336113,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,1.122825898536927,0.09202027491135532,4
Civil engineering,,1.7288928630004576,,0.15353932702721287,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,1.4675093115759672,0.13032640537048873,4
"Wholesale trade, except of motor vehicles and motorcycles",,6.557934942556805,,0.6865490180406577,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,5.566470195388256,0.5827527537359817,2
Sewerage,0.00393537019486698,0.00393537019486698,0.0011633516184442045,0.00013991784611856644,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.003340399239917675,0.00011876429501727616,2
Manufacture of other transport equipment,-0.004071578543746347,0.004128949242049015,0.002015199014427017,0.00023600027431743294,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.003504711939880255,0.00020032045218479436,2
Construction of buildings,,0.005490593641607224,,0.0005700369706731674,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.004660495434722764,0.0004838556398189078,2
"Water collection, treatment, and supply",,0.023016614551434757,,0.006286339794258311,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.01953683591276209,0.0053359362984438325,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.21158637804333214,,0.022333616605298735,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.17959758330099632,0.01895709736030928,1
Manufacture of machinery and equipment,,0.023788182260367347,,0.0017779871430595368,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.020191753763139964,0.0015091812478038617,1
Forestry and logging,,101.02397322344517,,4.097697589945586,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,85.7506121810902,3.4781850847781275,1
Mining of metal ores,,0.17326769743919426,,0.01986343824331251,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.14707213201520264,0.016860374176909054,1
Manufacture of electrical equipment,-0.0009841308632937721,0.0010511981832809607,0.0008737926889914618,0.00010538516686931013,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.0008922722484951004,8.94524565358558e-05,1
Other mining and quarrying,,0.17690072809148938,,0.019408327334772702,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2158.59086728096,7200,117.8113726,0.15015590107086943,0.01647406944376158,1
