names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,,,
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, CH, None)",-86.4415536,86.4415536,25.84452561,2.923412425,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,73.37284312,3.444112304,Forestry and logging,,,"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, CH, None)"
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,41.71805169,,4.941249602,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,35.41088671,5.82135398,Land transport and transport via pipelines,,,"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)"
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,27.43739318,,4.903614044,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,23.28925686,5.777015013,Land transport and transport via pipelines,,"transport, freight, lorry, all sizes, EURO5
to generic market for transport, freight, lorry, unspecified (ton km, RER)","'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)"
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,27.0903036,,5.636565527,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,22.9946422,6.640515215,Land transport and transport via pipelines,,"transport, freight, lorry, all sizes, EURO6
to generic market for transport, freight, lorry, unspecified (ton km, RER)","'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)"
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,16.96547112,,3.039879689,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,14.40053769,3.581323987,Land transport and transport via pipelines,,"transport, freight, lorry, all sizes, EURO4
to generic market for transport, freight, lorry, unspecified (ton km, RER)","'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)"
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,9.968673693,,1.804891322,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,8.461554664,2.126367241,Land transport and transport via pipelines,,"transport, freight, lorry, all sizes, EURO3
to generic market for transport, freight, lorry, unspecified (ton km, RER)",
"'market for electricity, medium voltage' (kilowatt hour, CH, None)",6.135757171,6.570844767,5.56747248,0.562925125,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,5.577428241,0.663189816,"Electricity, gas, steam and air conditioning supply",,,
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,6.173225348,,0.687921172,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,5.239923117,0.810449375,,,,
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,4.519246369,,0.47948393,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,3.836001796,0.564886599,,,,
other,,4.063783904,,0.434568904,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,3.449398657,0.51197159,,,,
