names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.3524245839300994,,0.038450523674202056,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.29914309302436515,0.03263736159390274
other,,3.7274713963169845,,0.40434755010881546,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,3.1639317275189653,0.34321605901467567
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.04478040173848607,,0.005271108518038601,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.038010253806758605,0.004474193281777112
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.03885849175615539,,0.005589874648150471,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.03298365081280395,0.0047447665915323275
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.06720274073600649,0.06720274073600649,0.07705011974131866,0.009129241089083868,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.05704266001906041,0.007749032107519872
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.06382297197257486,,0.009493158866596196,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.05417386332410396,0.008057930789778605
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.1314788615357632,,0.018899023885176634,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.11160116263322714,0.01604176529658448
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.6200774200520194,,0.083388474598914,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.5263306982742169,0.07078134543261744
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.016210673402710735,0.016210673402710735,0.014853102809496808,0.0016861282202120596,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.013759854456284245,0.0014312100631718296
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.0311961391912268,,0.006752797334057766,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.026479734937938242,0.0057318722166027685
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.0010652197875793666,0.0010652197875793666,0.001029210822935964,0.00010121219939667488,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.0009041739893788205,8.591038128408571e-05
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.06050585703424603,,0.010966655940921445,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.051358248103669096,0.009308656455566536
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, CH, None)",-88.54221873885658,88.54221873885658,27.750386008274,3.035163044201843,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,75.1559181298059,2.5762903675751274
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.07439761207506758,,0.009892084300960306,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.06314977105620072,0.008396544478389606
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,5.952949219038856,,0.7200881866901457,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,5.052949547791667,0.6112212860256122
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.21033692675185725,0.21033692675185725,0.18324216280797473,0.020380354150585756,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.17853703094183054,0.01729913988845739
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-1.078143090317169,1.1599081831060525,0.8756140355634094,0.08026238065174615,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.9845468714164294,0.06812787159713149
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,19.605059259606914,,3.5563722965760802,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,16.64105835195652,3.0187003326502966
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.07378783346133279,0.07378783346133279,0.03060044072417394,0.0036550851785080267,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.06263218213394518,0.003102489257058386
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",,0.13011174143284657,,0.013715043587252835,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.11044073128203803,0.01164152771041803
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.11730850046468017,0.11730850046468017,0.1264306404571818,0.014282308118259684,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.09957315484556215,0.012123030063279038
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,4.916466360038273,,0.5416880320983689,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,4.173167879752105,0.45979265001651365
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.043081682343809706,,0.006140523774290895,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8663.087932825089,29700,117.8113726,0.03656835617227136,0.005212165548006607
