names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Crop and animal production, hunting and related service activities",,0.47199459755607315,,0.05290046033373955,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.4006358530076859,0.04490267719174299,76
Manufacture of other transport equipment,-0.0033749724042626134,0.0033871211632197536,0.0017114040917330054,0.00019665105867964537,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.002875037518423543,0.0001669202678312954,20
Manufacture of coke and refined petroleum products,,2.482531564262473,,0.29492543302847546,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,2.1072087604745153,0.2503369806494178,15
"Electricity, gas, steam and air conditioning supply",,7.857398028272004,,0.7907629645210842,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,6.669473290112574,0.6712110614362575,11
Mining of coal and lignite,,0.11692413458142176,,0.012439091832902316,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.09924689951487906,0.010558481374405375,11
Manufacture of electrical equipment,-0.0008534866299983007,0.0008714431626594458,0.0007179820969854707,8.104832826042903e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.0007396935825696727,6.879499531476388e-05,8
Land transport and transport via pipelines,,55.43319612016165,,5.332641025490247,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,47.052500023381995,4.526422965629931,6
Manufacture of other non-metallic mineral products,,0.1908099623812587,,0.01831021003914934,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.16196226066316002,0.015541971572911917,6
"Waste collection, treatment, and disposal activities",,0.48026454849089456,,0.06334431890476214,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.40765550718224514,0.05376757566506966,6
Manufacture of machinery and equipment,,0.017660452005081987,,0.0013747396457145188,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.014990447539427095,0.0011668989295134644,5
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.1849666985985726,,0.018206775343559398,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,0.1570024137029472,0.01545417470465784,4
Manufacture of basic metals,,1.8819444078919223,,0.21903623790834378,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_4,0,188,2138.9594044685364,7200,117.8113726,1.5974216804022894,0.18592113229342325,4
