names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, high voltage' (kilowatt hour, AE, None)",,0.04582698342625733,,0.020353426484647878,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.03889860750697792,0.017276283295461645
other,,3.528617019334735,,0.9454198934777085,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,2.9951412511891355,0.8024861035170627
"'market for natural gas, high pressure' (cubic meter, NL, None)",,0.05225295112061368,,0.04649373767321238,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.04435306199005585,0.03946455817221536
"'market for electricity, medium voltage' (kilowatt hour, CH, None)",6.007936950823111,6.928169658130391,6.122836731333602,1.9956167119624604,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,5.880730786197792,1.6939083790646374
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.045906357272917454,,0.018197754309548814,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.03896598117804924,0.015446517520286335
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.0031762813777251138,0.003479988629891296,0.0041512842518562085,0.0016713045460060116,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.0029538647696659604,0.0014186275137295292
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.1885157904254725,,0.18046181392118837,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.16001493426745161,0.15317860231872757
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.02265704245030733,,0.011681769677871108,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.01923162590358219,0.009915655356578968
"'market for electricity, high voltage' (kilowatt hour, RO, None)",,0.04491151542939695,,0.017327954806845503,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.038121545007274577,0.014708219100101973
"'market for natural gas, high pressure' (cubic meter, CN, None)",-0.0009716941595254863,0.0009716941595254863,0.0005674859157939195,0.0002609019218015498,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.0008247880812191525,0.00022145733136254948
"'market for natural gas, high pressure' (cubic meter, IR, None)",-0.00033635216451498214,0.00033635216451498214,0.00017084166542827173,6.796078238470908e-05,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.0002855005905558749,5.768609675353964e-05
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.0007355260398679064,0.0007355260398679064,0.0006696460642958309,0.00025377625846880993,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.0006243251594777756,0.0002154089650839107
"'market group for electricity, high voltage' (kilowatt hour, RLA, None)",,0.0017207372602553522,,0.0009899572203405048,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.001460586717801599,0.0008402900318474898
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.10304779771592698,,0.08286029126607118,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.08746846373295458,0.07033301576699497
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.069513247843923,0.10616727755462556,0.16434384273691077,0.06308199343013803,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.09011632341734176,0.05354491000144584
"'market for biowaste' (kilogram, RoW, None)",,0.03841644874742017,,0.018251907813973713,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.03260843830234788,0.015492483799457672
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.28324456260914316,,0.0670106105065051,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.24042208859651565,0.05687957709653669
"'market for electricity, high voltage' (kilowatt hour, BR-Southern grid, None)",,0.005057951261780382,,0.002342983133493464,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,535,1930.5558643341064,6000,117.8113726,0.00429326231428729,0.0019887580305583026
