names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,8.530340379443366,,0.9216756491860382,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,15.59506982968524,1.684996784420772,229,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
"Wholesale trade, except of motor vehicles and motorcycles",,6.203020153816616,,0.7874963038305064,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,11.340289853712425,1.4396916538583837,49,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Manufacture of chemicals and chemical products,,0.9017670017724699,,0.12178038073959103,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,1.648600024992816,0.22263748655285254,32,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Land transport and transport via pipelines,,59.113831516376294,,5.956613599059916,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,108.07122452226139,10.889812234181182,31,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Sewerage,,0.00433616951307782,,0.0003500303238820377,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,0.007927335058371196,0.0006399213982835138,31,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Manufacture of basic metals,,1.5551598947614396,,0.2000340034624452,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,2.8431253708909066,0.3656998564589392,28,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
"Crop and animal production, hunting and related service activities",,0.44994341820162737,,0.0533035031800917,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,0.8225813641822725,0.09744884931715031,27,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
"Waste collection, treatment, and disposal activities",,4.597187564998917,,0.6475733093564702,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,8.404525248381356,1.1838860502672586,19,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Manufacture of coke and refined petroleum products,,2.7788024559111624,,0.427090862091136,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,5.080174578644799,0.7808025848514096,13,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Mining of metal ores,,0.18527569760761797,,0.02824470999021802,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,0.33871889202655603,0.051636652820810536,9,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
Manufacture of other non-metallic mineral products,,0.18818269872642357,,0.021619515719826513,250,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5,0,535,2556.3680505752563,7750,54.698955968801435,0.3440334379211133,0.039524549119653404,7,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e_5
