names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,3.9839216462235467,,1.4361822536348392,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.7774000112698084,0.2802485087073859,88,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.005707687719785389,,0.005942991620783669,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0011137660053861234,0.0011596818821356803,18,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Manufacture of chemicals and chemical products,,0.0017220116284828555,,0.0007967658501882305,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.00033602364159402847,0.00015547639635505337,10,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Land transport and transport via pipelines,,0.01866580943475375,,0.015573564546942096,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0036423408273334864,0.003038937592003166,8,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
"Waste collection, treatment, and disposal activities",,0.11127895925738326,,0.09357104616322201,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.02171434879066598,0.018258926455235518,8,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Civil engineering,,0.0014943316407254187,,0.0005589652102783324,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0002915954522955963,0.00010907332004928278,7,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Manufacture of basic metals,,0.01406928921843565,,0.009102844039217819,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0027454017845300618,0.0017762776698641324,5,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Manufacture of coke and refined petroleum products,,0.0012470370296065404,,0.0007093152177053195,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.00024333977596897624,0.00013841177292245882,4,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Manufacture of rubber and plastic products,0.0001479164313879705,0.00015116844073808923,0.00018865214979595316,0.00010237942959445675,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,2.9498157335706723e-05,1.997774474203634e-05,4,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Mining of coal and lignite,,0.0023887885946045828,,0.0018842713536180748,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0004661347399056225,0.00036768608964150124,4,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Mining of metal ores,,0.0015185041023841133,,0.0007133731249751013,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.000296312330194965,0.0001392036100712267,3,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Manufacture of other non-metallic mineral products,,0.001166358266235145,,0.0005105031731028965,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.00022759657689938348,9.961671131249846e-05,2,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Forestry and logging,,0.00837784332698151,,0.006228552359610984,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.0016348051179635725,0.0012154045949036394,2,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Other mining and quarrying,,0.0005649686138261556,,0.0002995389340953802,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,0.00011024479037429756,5.8450338992542666e-05,1,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
Construction of buildings,,1.3584315222506249e-05,,4.554739284342193e-06,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,4,165,42.784130811691284,160,512.4674026845192,2.6507666929342057e-06,8.887861472715256e-07,1,_electricity_voltage_transformation_from_high_to_medium_voltage___kilowatt_hour__CH__None_
