names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,2.887910809206907,,1.2306519071789574,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,1.512023997175665,0.6443326469405745
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,0.01769981046332204,,0.01598820053445336,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.009267093042029757,0.008370945114606641
"'market for electricity, high voltage' (kilowatt hour, HK, None)",,0.8020917550860751,,0.8929687531741908,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.41995132874617835,0.46753181546427536
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.021748031698090385,0.021748031698090385,0.05916028556138749,0.03477809608775387,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.011386620983589288,0.018208774209064374
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",1.8043575795295652,1.8043575795295652,1.9818436952229612,1.2905446177800697,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.9447078320551534,0.6756906845212604
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.11776345718391142,,0.03391452532953681,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.061657435085865096,0.017756634307263888
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.25362363416389966,0.31971999426635306,0.3249726973471291,0.14396173627429668,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.16739585660554118,0.0753740729207595
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.11667851287568354,,0.0861298963994668,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.06108939059349027,0.045095045807876696
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.028080380048606912,,0.015636955359455078,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.014702049782128315,0.008187043613287278
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.011700003368252212,,0.004457985095335003,10,_market_for_sawnwood__softwood__dried__u_10____planed___cubic_meter__RoW__None_,164,270.50301694869995,880,190.99636081181808,0.006125772930186774,0.0023340680819187425
