names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.12644913403371238,,0.08225294501178489,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,2.668631186394037,1.7358978051418033
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.006257023402586659,,0.006410525825824312,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.13205062979465207,0.13529020400739314
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.0006089313990704675,,0.0002796553167632217,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.01285112258262489,0.005901953425448273
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.013691334376413677,,0.00764589370336311,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.2889471895513749,0.16136188310478033
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.007081691756188081,,0.004283648059724601,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.14945474808830717,0.09040375713976541
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.01647746815011335,,0.017387611931608104,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.3477468289065829,0.36695485352422846
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.0018044293305479976,,0.001321903304725357,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.03808137099508082,0.02789795605438406
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.006205745077383839,,0.005283152764164673,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.13096843228600155,0.11149768906424345
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.009795870483661718,,0.00827985102316777,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.20673582045731487,0.17474116234936926
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.009851525695822736,,0.0046129588136741995,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.2079103894726999,0.09735365802062501
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,0.0005943051648838015,,0.00043804303123525244,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.012542444907698043,0.009244628704418913
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.006964060035696298,,0.0050268814942981506,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.14697220299053002,0.10608924156344626
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.008468143973397135,,0.0037657392032335846,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.17871496923227173,0.07947360932417721
"'market for brazing solder, cadmium free' (kilogram, GLO, None)",-3.32722032220234e-06,4.1699318592436365e-06,3.4016988903098302e-06,1.3485747850273977e-06,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,8.800384668311623e-05,2.8460841238732922e-05
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.03471933238676078,0.03471933238676078,0.08565087527340622,0.05418553986438066,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.7327301518204804,1.1435524856590296
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.008599461869033898,,0.010014469000671546,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.18148635263719465,0.2113492076841217
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.007671135778529436,0.007671135778529436,0.010608801596231347,0.005845141927003516,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.1618946015730634,0.12335812462853425
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.006435810263597852,,0.006020033469471402,10,_market_for_sodium_cyanide___kilogram__RoW__None_,191,333.362761259079,1260,4.738351806664434,0.13582381651244138,0.12704910304474012
