names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.00810997208562503,,0.004217622218016062,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,2.180108566929631,1.1337738567395974
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.00012357489377196198,,0.00012321180656523498,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.03321918765259355,0.033121583182248816
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.00028702450745142353,0.00028702450745142353,0.0005076506034707271,0.0003013546241481837,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.07715742804130507,0.08100962504591418
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,6.998191662733467e-05,,6.764406406362638e-05,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.018812416905828248,0.018183959452640105
"'market group for electricity, low voltage' (kilowatt hour, IN, None)",,1.2427077273076404e-05,,6.061885254547977e-06,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.0033406252621944006,0.0016295454331598895
"'market for copper, anode' (kilogram, GLO, None)",,1.3961218256607066e-05,,1.1080356648689369e-05,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.0037530303686190403,0.0029786021701925097
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,7.713489721575653e-05,,3.18633159095844e-05,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.02073526868574261,0.008565441070801972
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.0013287698925560352,0.0013287698925560352,0.000870245504075879,0.0005112414464810086,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.3571976075447019,0.1374310349622917
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.0003343389843237954,0.0003343389843237954,0.00027294206042463104,0.0001440711180422594,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.08987642328323531,0.03872894695257797
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.0011307584685916472,,0.00042000731752996057,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.3039685215285042,0.11290563536503608
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.00027466954385873404,,0.00025540925092561466,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.07383618825303642,0.06865866986188258
"'market for aluminium, cast alloy' (kilogram, GLO, None)",,0.028109593526162147,,0.011387947040375296,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,7.5563719593953245,3.0612880834040155
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.00048049184817826465,,0.0003922643382930032,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.12916498151825073,0.10544781602015232
"'market for steel, unalloyed' (kilogram, GLO, None)",0.0034904601945074413,0.0035970900394094478,0.0027841738075586307,0.0015717240497453034,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.9669634775727345,0.42250812080754396
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,6.112047251954911e-06,,6.393454910826153e-06,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.0016430298939109932,0.0017186774105026022
"'market for natural gas, high pressure' (cubic meter, PL, None)",,0.001671810950802362,,0.002215054256695957,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.449413307179109,0.5954470262353104
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.000531553931086351,,0.0003223542053150306,10,_market_for_transport__passenger_car__large_size__natural_gas__EURO_5___kilometer__GLO__None_,253,387.4027588367462,1630,0.37199854212062283,0.14289140168565265,0.0866546958698847
