names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,3.267116841688822e-05,,3.0823937784750976e-05,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,6.109909281561587,5.764454492786843
"'market for heat, central or small-scale, natural gas' (megajoule, RoW, None)",,1.42655563545848e-06,,5.574981260789975e-07,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.2667834038419715,0.10425898858341748
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-4.369796112642388e-08,4.5985958206092935e-08,6.714708653592407e-08,3.4665308790879505e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.008599938308899685,0.006482837994251518
"'market for natural gas, high pressure' (cubic meter, KZ, None)",-1.424780272504464e-08,1.8279492135548518e-08,4.873801884519563e-08,3.040657213191e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.003418489269685492,0.005686401995748509
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-1.2465330795061234e-07,1.2840911792673123e-07,1.2537765707902412e-07,6.985028293063049e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.02401408028774742,0.013062859783641948
"'market for 2,4-dinitrotoluene' (kilogram, GLO, None)",1.1289829896337489e-07,1.2528601780367575e-07,1.526267790126279e-07,9.665106293603964e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.023430022252674543,0.018074934418337123
"'market for natural gas, high pressure' (cubic meter, QA, None)",-9.018230749287801e-08,1.125268125472549e-07,1.079975221540557e-07,4.8741441597877714e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.02104389434849902,0.009115247505553698
"'market group for electricity, low voltage' (kilowatt hour, CN-SGCC, None)",,9.875618862479474e-08,,1.4277962308113117e-07,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.018468618746380006,0.02670154103917284
"'market group for electricity, high voltage' (kilowatt hour, US, None)",,1.3729082004898293e-07,,5.640309808593777e-08,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.02567506753927038,0.010548071256795383
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",7.719588755603866e-07,7.719588755603866e-07,1.2683742875102459e-06,7.689171897990365e-07,10,_market_for_water__deionised___kilogram__RoW__None_,337,454.6707525253296,2440,0.0005347242800393599,0.14436577959459115,0.14379694704389304
