names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.058622235285505565,0.058622235285505565,0.03757368404662062,0.02172989401581272,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.1961211363316715,0.07269752656125156
other,,1.3570069074752804,,0.6180283562454902,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,4.539876983670433,2.0676185908255467
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.018044532062119423,,0.02146139360867673,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.06036811996950827,0.07179925639641452
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.03521876117943894,,0.012742034443515645,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.11782463478346969,0.0426285736473352
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.017678434120618647,,0.011198152220628024,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.05914333650729235,0.03746350386723672
"'market for light fuel oil' (kilogram, RoW, None)",,1.073572943154526,,0.7268374267546839,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,3.5916464891003828,2.431640168090996
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.03209397234988271,,0.019080345978915322,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.1073706298642713,0.06383344334724715
"'market for diesel' (kilogram, PE, None)",-0.0022688391715849575,0.0022853690405813865,0.00141618294308993,0.0008819363914351516,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.007645719597575014,0.0029505249402061264
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.0073008666786308525,,0.004473639790957984,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.024425105290605445,0.014966596122925281
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.009467689617080392,,0.010003654641770077,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.031674227997178984,0.03346730308488659
"'market for lead' (kilogram, GLO, None)",,0.018435506317743402,,0.006907290900994397,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.061676127330810016,0.023108394517521568
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",0.0008254747709396604,0.0021834813682262144,0.0035174817590883207,0.001515621536986383,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.007304853610749943,0.005070523439354731
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.17775161392540875,,0.12778034290673215,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.5946693833501625,0.4274901141123013
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,0.005775041221731581,,0.004356578283388331,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.019320444559170213,0.014574965954381788
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.07084642545548128,,0.04783749952484401,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.237017258002809,0.1600407203919415
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.08026974451786772,0.08026974451786772,0.19261707072756695,0.1107908454721992,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.26854304397003365,0.37065162055542966
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.016632543562917323,,0.013143069893201142,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.05564430165036553,0.0439702408102905
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.011633735822587888,0.011633735822587888,0.013047000034326716,0.00743058672529188,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.03892075213775657,0.02485908469845734
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.024296312044089677,,0.025483420678313395,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.08128349769586324,0.08525497870744893
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.0698399041769604,,0.03960489885289264,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.23364993337036993,0.1324984919033053
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.01661405691687259,,0.007381812286769571,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.0555824544346871,0.02469590944148621
"'market for electricity, high voltage' (kilowatt hour, KW, None)",,0.022787790493523107,,0.020076963197122197,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.07623672731535745,0.06716763387018629
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.005034081815965851,,0.0023590637979823146,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.016841559202331133,0.00789226597187764
"'market for natural gas, high pressure' (cubic meter, IR, None)",-0.00027397981376715564,0.00027397981376715564,0.00022260845629189292,0.000132014803466261,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.0009166015616132591,0.00044165653428788576
"'market for copper, anode' (kilogram, GLO, None)",,0.002639923985732828,,0.0018247512432139259,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.008831885877254681,0.006104719234925351
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.35463985215954186,0.35463985215954186,0.12604812002651836,0.07266505356148653,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,1.1864503367244046,0.2431014922353896
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.016337093975737425,,0.008768955692475036,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.05465587279765729,0.029336608310388004
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.004819174507694596,,0.002290949127765987,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.01612258515948087,0.0076643878219124825
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.04507338113658266,0.04507338113658266,0.08020395831411194,0.05013454605371248,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.15079334119152538,0.16772550711585874
"'market for agricultural machinery, unspecified' (kilogram, GLO, None)",2.491119244508393,2.491119244508393,0.41750531473205355,0.23550072448400022,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,8.334058477832873,0.7878694742326509
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.013309684202735284,0.013309684202735284,0.009619060934029434,0.00583894150500562,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.04452765025665175,0.019534223445399734
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.025731543713167857,,0.026847700911670852,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.0860850762175272,0.08981918865846487
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.030268017473210663,0.030268017473210663,0.0321750174126735,0.022358125350906095,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.10126188386440968,0.07479927929581745
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.008412869138714552,0.008412869138714552,0.007991618538928127,0.0051043584548299496,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.028145318022397194,0.017076670234936288
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.1914433635048802,,0.15832688160413366,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.6404752362456857,0.529683792861617
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.028407209901968856,0.028407209901968856,0.021078508634674357,0.012499769971362769,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.09503653790840595,0.041818076003565505
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.01096436001770611,0.01096436001770611,0.010029554039213908,0.005865030413651436,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.03668135026495217,0.019621504088731596
"'market for diesel' (kilogram, RoW, None)",,3.8048562729217275,,1.3688529927113195,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,12.729175750290775,4.579508152394363
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.03439071166577383,0.03439071166577383,0.025854667292309282,0.01434102429737689,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.11505438880482408,0.04797800642816977
"'market group for electricity, high voltage' (kilowatt hour, RER, None)",-0.010750617396341866,0.010750617396341866,0.01021104930236478,0.006506764828815877,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.03596627269105369,0.0217684314809102
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.009840179390928763,,0.008533168543576492,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.03292039538338121,0.0285477806010867
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.00994980511510662,,0.0052999543615076935,10,_planting_with_starter_fertiliser__by_no_till_planter___hectare__RoW__None_,200,425.79447841644287,1390,29.890829913592892,0.03328714908173872,0.01773103783611419
