names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
other,,0.3957089036975929,,0.1294740782995078,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,2.5210454682361085,0.8248741317189795
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.0023179323163565503,,0.0022724579200123895,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.014767453315365605,0.014477737770041835
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",0.052167671520997064,0.052167671520997064,0.1021797831003552,0.05777209587774762,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.3323581315646792,0.3680636931394465
"'market for hydrochloric acid, without water, in 30% solution state' (kilogram, RER, None)",,0.06070247774411906,,0.032028503524149265,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.38673303784052687,0.2040523043819292
"'market for brazing solder, cadmium free' (kilogram, GLO, None)",-5.6568697392300746e-05,5.6568697392300746e-05,1.6018340824289765e-05,1.0578942641641492e-05,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.0003603968899164982,6.73980169670927e-05
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.042033986568892526,0.042033986568892526,0.05542202377302906,0.032571662412419704,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.26779683338231786,0.2075127477558615
"'market for electricity, high voltage' (kilowatt hour, EE, None)",,0.0030451498226441655,,0.0019515710635550302,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.01940052672240077,0.012433380547525092
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.009148065582436705,,0.005979280417913763,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.05828195692395552,0.03809375442412137
"'market for electricity, high voltage' (kilowatt hour, SI, None)",,0.08292824227920989,,0.08136958285381071,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.5283324874250482,0.5184023310797945
"'market for electricity, high voltage' (kilowatt hour, LV, None)",,0.014593166083267746,,0.008124874207510705,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.09297247263749862,0.051763245935165715
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.006030223486863884,,0.0020589312037216966,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.0384183106620899,0.013117367671158809
"'market group for electricity, low voltage' (kilowatt hour, RER, None)",0.016951050181246964,0.016951050181246964,0.014200507324713932,0.008343848202796324,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.10799445714250043,0.05315832042886032
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.12164582195645242,0.12164582195645242,0.21653204095647638,0.13601941295543463,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.7750006262369487,0.8665741948669734
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.07381798530642633,,0.05864806273721061,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.470291407628536,0.3736444426771467
"'market for electricity, high voltage' (kilowatt hour, XK, None)",,0.019560642964815987,,0.020424095587949307,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.12462006753307693,0.1301210893757656
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.155803174517097,0.155803174517097,0.2810865446608683,0.17376979984957364,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.9926157419831548,1.107080387460405
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.007142896656309133,,0.009645026676563827,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.04550710655534975,0.061448076014357124
"'market for natural gas, high pressure' (cubic meter, PL, None)",,0.029207647252291035,,0.01388879897064842,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.18608074282680098,0.088484978167067
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.01652019477854383,,0.007814003780074038,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.10524949474640564,0.04978270297802073
"'market for electricity, high voltage' (kilowatt hour, SK, None)",,0.07474202160105489,,0.06719599319636622,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.4761784055992445,0.4281029629315211
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.03301401545820508,0.03301401545820508,0.01664146110274251,0.010994847741270054,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.21033096117238323,0.07004773158518014
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.010652762295093599,,0.009648190280208127,10,_pyrethroid_compound_production___kilogram__RER__None_,233,446.7555878162384,1610,15.696222407859118,0.06786831900241008,0.06146823120560056
