names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,6.873676760606616,,0.6893784348508266,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,5.834476425246756,0.5851544037191081,74
Manufacture of chemicals and chemical products,,0.6129497707810553,,0.06423402807751001,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.5202806463024396,0.05452277370165367,21
"Wholesale trade, except of motor vehicles and motorcycles",,4.859747275366165,,0.5231979008677753,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,4.12502389889494,0.4440979587294744,14
Manufacture of coke and refined petroleum products,,1.6590207897285334,,0.21997655478359576,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,1.4082008834251825,0.18671928688113407,12
Forestry and logging,,86.22955775717274,,3.1197241900925015,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,73.19289798103306,2.648067093390695,11
Manufacture of rubber and plastic products,,0.043623822561436265,,0.0053935304822434115,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.03702853264391579,0.00457810681873289,8
Manufacture of basic metals,,1.3043401579829585,,0.11320053195911764,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,1.1071428243277752,0.09608625165879583,8
Civil engineering,,1.1712683108522322,,0.11646136098349932,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.9941895124412057,0.09885409057996097,6
Land transport and transport via pipelines,,36.971585678876714,,3.906095259641049,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,31.3820175955379,3.315550250741285,6
Mining of coal and lignite,,0.0933066758315792,,0.010255439333766032,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.07920005834103931,0.008704965494787923,5
Manufacture of food products,,1.2668571388084915,,0.09323371606026655,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,1.0753266945711586,0.07913812903005474,4
"Crop and animal production, hunting and related service activities",,0.44941993434122385,,0.04833884212320171,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.381474151792731,0.04103070956258574,4
Manufacture of machinery and equipment,,0.018314549417619293,,0.0014384803663555113,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.015545654900229295,0.001221002976715604,2
"Waste collection, treatment, and disposal activities",,0.38327041482033825,,0.03703117827816339,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.32532548120090254,0.03143260065723349,2
Mining of metal ores,,0.1264400496135686,,0.014878915843212579,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.10732414606768499,0.012629439344307053,2
Manufacture of other non-metallic mineral products,,0.13158629904077332,,0.014201606013064241,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.11169235714411269,0.012054528947118167,2
Manufacture of electrical equipment,-0.000686059614444143,0.0006984812446326396,0.0005483752403614834,5.89847621505879e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.0005928810005500604,5.0067120727687626e-05,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.14947900793886126,,0.013650093150378063,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.12687994769943056,0.011586396838549408,2
Sewerage,0.0036627003699467526,0.0036627003699467526,0.0010445926079541109,0.00010803245923955694,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.0031089531418860257,9.169951665562459e-05,1
Unknown,,0.09556668478379243,,0.010388981904463954,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.08111838668433648,0.008818318363658513,1
Construction of buildings,,0.004183540211165217,,0.00039586395728312494,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,2,188,1891.0532870292664,6600,117.8113726,0.003551049545419876,0.00033601506250774713,1
