names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Mining of metal ores,,0.07354716268689108,,0.008178196492599642,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.06242789729358529,0.006941771674596075,77
Manufacture of basic metals,,0.8261794635269997,,0.0658466155741534,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.7012730989325555,0.05589156133314875,21
"Electricity, gas, steam and air conditioning supply",,1.066225501758466,,0.0839132466698517,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.905027654145561,0.07122677956970998,13
Manufacture of food products,,0.3928810450604157,,0.03415204265154134,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.33348312339450303,0.02898874862233915,9
Manufacture of electrical equipment,-0.0006201114799998956,0.0006220614497891533,0.0003767291755985387,3.978869756880057e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.0005280147714611665,3.377322298407766e-05,6
Manufacture of other non-metallic mineral products,,0.08265416808166139,,0.00767555518720135,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.07015805542160485,0.006515122451940051,6
Manufacture of chemicals and chemical products,,0.418004638191747,,0.03675842370636633,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.3548083932533242,0.03120108262482491,6
"Crop and animal production, hunting and related service activities",,0.1467620450475668,,0.020174499906983674,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.12457375023195918,0.01712440782392147,5
Sewerage,0.0012458956151442345,0.0012458956151442345,0.0004433191033669478,5.100941198241624e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.0010575342495790891,4.329752795225157e-05,4
"Wholesale trade, except of motor vehicles and motorcycles",,2.8340882774057827,,0.2933053282702307,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,2.4056151922007083,0.24896181225735986,4
Manufacture of coke and refined petroleum products,,1.203528911803468,,0.16458685269959594,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,1.0215727779437382,0.13970370522581957,4
Other mining and quarrying,,0.07647286131330042,,0.006558026779278824,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.06491127267733779,0.005566548147728503,3
Land transport and transport via pipelines,,25.628382463577513,,2.2826707004283158,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,21.75374235778789,1.9375639635220714,2
Civil engineering,,0.9414068595729657,,0.07955334434516122,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.799079782194954,0.06752603130706689,2
Manufacture of rubber and plastic products,,0.026165693756209342,,0.003087830690931494,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.022209819967931806,0.0026209954292065467,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.10777463610186942,,0.008015357991767964,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.0914806726408257,0.006803551995767142,1
"Waste collection, treatment, and disposal activities",,0.14918606758987704,,0.009748968763235685,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.12663129568687925,0.008275065936406622,1
Mining of coal and lignite,,0.0554251877584465,,0.005847478713381653,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.04704570240992719,0.004963424654456198,1
Specialized construction activities,0.0002698043121721996,0.000581486419782288,0.0008521713993522723,7.446713094821321e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.0004935740981107014,6.320877968296688e-05,1
Construction of buildings,,0.0030195414386981,,0.000250946089129337,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.002563030522486333,0.00021300667634300782,1
Forestry and logging,,2.342175240633382,,0.17124950112005824,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,1.9880722793933239,0.14535905773841926,1
Manufacture of machinery and equipment,0.009081692572734858,0.009153415873111205,0.005382802737173271,0.0005662333003125405,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,171,1897.4943690299988,6900,117.8113726,0.007769552014464183,0.0004806270293064564,1
