names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,0.0480296388558372,,0.004462991843692573,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.04076825334928421,0.0037882521400082326,118
Manufacture of chemicals and chemical products,,0.015392907717528681,,0.001240347070593469,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.013065723094315838,0.0010528245645730376,24
"Wholesale trade, except of motor vehicles and motorcycles",,0.010732778937263165,,0.0009697248482696027,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.009110138266280725,0.0008231165012923403,23
Manufacture of coke and refined petroleum products,,0.010033886548338014,,0.0010917521971103602,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.008516908280498222,0.0009266950830096349,17
"Waste collection, treatment, and disposal activities",,0.0477466922794186,,0.00352635831495205,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.04052808419568367,0.002993224030183356,17
Mining of metal ores,,0.013628090842889965,,0.001350293258120484,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.011567720961168027,0.0011461484815265483,13
Manufacture of wood and products of wood and cork,,0.0010730977458006505,,9.634676485121934e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.0009108609144586526,8.178052994793759e-05,10
Civil engineering,,0.002135212007687392,,0.00022182444026787752,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.001812398888634451,0.0001882877988537055,8
Mining of coal and lignite,,0.022222994503700286,,0.0032098155216912848,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.018863199717698804,0.002724537920960684,7
Forestry and logging,,0.0026320719107944222,,0.000124354244159144,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.0022341407732604777,0.00010555368417729817,4
Manufacture of rubber and plastic products,,0.012569659771418952,,0.0009011164412217555,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.010669309332381848,0.0007648806913414703,4
Manufacture of basic metals,,0.23702393520368045,,0.01869598200380615,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.20118935037658703,0.015869420405858297,4
Manufacture of other non-metallic mineral products,,0.011895247184596518,,0.0007762775935859857,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.010096858157305365,0.0006589156687119234,3
Land transport and transport via pipelines,,0.03458000009430374,,0.003353668085710236,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.029352005100315538,0.00284664206154087,3
Specialized construction activities,-2.82847591467967e-06,1.1190925992970636e-05,6.050097796239066e-05,6.725332021165728e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,9.499020125134027e-06,5.708559261082514e-06,3
Manufacture of machinery and equipment,,0.00010809717626194149,,9.61303128822294e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,9.175444940189203e-05,8.159680238054488e-06,2
Unknown,0.00015803725543067442,0.00015803725543067442,0.0001162496806407755,1.2581114931061338e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,3,271,5144.156997680664,7800,117.8113726,0.00013414431216861523,1.0679032637857016e-05,2
