names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for concrete, 30MPa' (cubic meter, RoW, None)",,7.366964200506089,,5.384062201198851,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,2.4336221308274375,1.7785851227143041
other,,11.317544625494486,,5.105159378078721,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,3.7386671521138113,1.6864516381171115
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.2891172424395632,,0.20226138047392261,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.09550774246417366,0.06681555092927313
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.7008486215849475,,0.3242431207180742,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.2315201580227392,0.1071113165303355
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.9673173262220687,0.9673173262220687,1.326720954838274,0.6946712622792669,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.3195461235531905,0.22947951306951075
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.06347906778474766,,0.07126698865927937,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.020969840493407624,0.02354252254771859
"'market for copper, anode' (kilogram, GLO, None)",,0.0709816777583967,,0.061657929717476086,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.02344827220203255,0.02036824100368838
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.19362241702307945,,0.0973969689443245,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.06396173325496748,0.03217436825363392
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,11.870042442088042,,9.08350765763961,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,3.9211807190459744,3.0006695647650417
"'market for waste wood, untreated' (kilogram, BR, None)",,6.418749415244254,,2.094814048511464,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,2.1203863903805833,0.6920063257638068
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.2355085181876518,,0.4009135495690385,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.07779849694674403,0.13243882557658812
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.8100687049620007,,0.7426219635990133,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.26760020467464973,0.24531967256321577
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.12355380515977146,0.12355380515977146,0.04700711427638568,0.02496781148500991,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.04081508561750646,0.008247931839287802
"'market for concrete, 30MPa' (cubic meter, BR, None)",,0.17765656876612326,,0.10184759648096145,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.058687533381308256,0.0336446001394473
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.0947382370409116,,0.030362669852049717,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.031296075835756,0.010030083395529342
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.41624888675170124,,0.18099618133723638,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.13750474078069147,0.05979074969134436
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.10048501052903881,,0.09967713992357931,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.03319447994916244,0.032927605870399286
"'market for municipal solid waste' (kilogram, RoW, None)",,0.6698862536797137,,0.37111924336615393,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.22129196881125612,0.12259649690842275
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.578093889544302,,0.19351465324768438,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.19096904029945985,0.06392613428888523
"'market for steel, unalloyed' (kilogram, GLO, None)",1.3638659317369843,1.5980864871492344,1.6575926419873035,0.7416346292742952,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.5279160501194619,0.24499351397227345
"'market for cast iron' (kilogram, GLO, None)",0.22067598395265406,0.24353419404516502,0.20536106116739725,0.1035737185696141,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.08044971960102947,0.034214811803454925
"'market for electricity, low voltage' (kilowatt hour, CN-NECG, None)",,0.0037734278308676045,,0.004580721713268028,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.0012465239722012932,0.0015132075347678532
"'market group for waste wood, untreated' (kilogram, Europe without Switzerland, None)",,2.878375043383523,,1.413951114918944,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.950849904485529,0.467088291936926
"'market for waste wood, untreated' (kilogram, FI, None)",,0.3758968138379458,,0.5141078995234145,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.12417473197449538,0.16983174179500427
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.36292276818191455,,0.34241827697207855,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.11988885195994144,0.11311534495875558
"'market for concrete, 20MPa' (cubic meter, RoW, None)",-0.6209234984455307,0.6209234984455307,1.0231462569461447,0.5209176731726723,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.20511748479299408,0.1720813001487181
"'market group for electricity, high voltage' (kilowatt hour, US, None)",,0.02465211537093665,,0.01731571472669914,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.008143643963181098,0.00572011827709095
"'cement, all types to generic market for cement, unspecified' (kilogram, Europe without Switzerland, None)",,0.030575879605855505,,0.010443718181471686,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.010100515660604608,0.003450005049951018
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.6747908934396409,,0.39301947046416763,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.22291218027674353,0.12983107493612805
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,0.6677209104529725,,0.4129563196175496,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.22057666369316253,0.13641706558276448
"'market for concrete, 35MPa' (cubic meter, RoW, None)",,1.9140395231957612,,1.5254029579208002,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.6322887984996053,0.5039055838727535
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.018802301446756077,0.019802902088544273,0.024048639412349943,0.013349063103274791,10,_shed_construction___square_meter__RoW__None_,262,525.6246762275696,1880,302.71602592639573,0.006541742224562394,0.004409764254278551
