names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for natural gas, high pressure' (cubic meter, ES, None)",,0.01875019496111836,,0.009862333749836258,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.041388676771352766,0.02176985064046661
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.0016043754978994685,0.0018853248949671554,0.0017078185095278902,0.0008407844752677822,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.004161615537789908,0.0018559250692268049
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.4738686624497006,,0.5193263820365474,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,1.0460049585017284,1.1463471078310692
"'market for electricity, high voltage' (kilowatt hour, BG, None)",,0.2717448541338995,,0.15624858923612442,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.5998422925921156,0.34489893941284655
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.01724080845149557,,0.01676209145329653,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.03805689752855753,0.03700019048393752
other,,1.9543758977163062,,0.6837270828529871,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,4.314036866712022,1.5092407993998982
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.007586030772640838,,0.004497891159835115,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.016745200584711146,0.009928524143518394
"'market for electricity, high voltage' (kilowatt hour, HR, None)",,0.11545955334856561,,0.11297132211072941,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.25486231709152934,0.24936986228512648
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.05039507987701892,,0.04790147532220594,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.11124074582806541,0.10573643010608255
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.008947878771854087,,0.004350324098443442,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.019751307282163254,0.009602788575504116
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.006363884441271761,,0.0026591232549605845,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.0140474675968024,0.0058696772552484806
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.5814599934448752,,0.5600493969394058,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,1.283499172892196,1.2362379972039261
"'market for electricity, high voltage' (kilowatt hour, DZ, None)",,0.003605017988139103,,0.0019291983825491163,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.00795761988477491,0.004258460695940382
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.38292848548914216,,0.27516457775390324,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.8452660543167195,0.6073908986652364
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.9794942020231682,,0.5814771545154095,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,2.1621091946519684,1.2835370537783877
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.03138897401318728,,0.021333625207973533,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.06928717820322397,0.047091271313444254
"'market for electricity, high voltage' (kilowatt hour, EE, None)",,1.6860358097016335,,1.772966486914046,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,3.721710163407535,3.913598605534152
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.07711832559283023,0.07711832559283023,0.07016900981229889,0.03982508919613743,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.17022892069807122,0.08790883228399836
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.07351214896006973,,0.06419676760613145,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.1622687432522775,0.1417062206406704
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.02068175350206012,0.02068175350206012,0.03206062612298465,0.01928058958044002,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.0456523472175408,0.04255945560890036
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.12141010891884862,,0.06514551139052346,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.26799741363954555,0.14380045218932672
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.010768758483842152,,0.00645597250000534,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.023770668253890067,0.01425074030438379
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.25817813417389035,,0.2040477316980746,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.5698954793223519,0.4504094827116188
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.11315360320247417,,0.15689523509447337,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.2497722246714055,0.34632632811319014
"'market for natural gas, high pressure' (cubic meter, GR, None)",,0.023936895207558706,,0.01952434932873005,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.05283765959286318,0.04309752433046637
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,20.224961341393698,,10.159370102977785,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,44.6440364704411,22.425520708698414
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.06045015490567298,,0.03932330809166671,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.13343604839082027,0.08680121415064151
"'market for electricity, high voltage' (kilowatt hour, KW, None)",,0.03975524933050245,,0.03530223902584236,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.08775466964032906,0.07792521429113057
"'market for electricity, high voltage' (kilowatt hour, SI, None)",,0.11402433822768648,,0.08679866878794025,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.25169426178017906,0.19159705027587032
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.2013752558284425,,0.20006962120763375,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.44451033125336403,0.44162830845764384
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.31625160407080133,0.385675596401261,0.34236682221037856,0.16427886941860412,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.8513299531632391,0.3626247642133492
"'market for electricity, high voltage' (kilowatt hour, LV, None)",,0.28464211983055815,,0.16979988600220244,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.6283113705009152,0.37481170793855734
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.14804453613250892,,0.09430512196189994,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.3267895329333578,0.2081665934065185
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.003693834830058927,,0.0017155576684925054,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.00815367179621875,0.0037868759216153117
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.003424565421470763,,0.0015611511179454318,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.007559293735639687,0.0034460430489318804
"'market for electricity, medium voltage' (kilowatt hour, US-MRO, None)",-0.1273949983669433,0.1273949983669433,0.3730634440868844,0.21733208793598768,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.2812082978673165,0.4797330138848485
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.014131376842079301,0.014131376842079301,0.014156947479950093,0.007841745511036906,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.031193221705899252,0.017309658430354508
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.03525634547900287,,0.02611411546877233,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.07782391010842903,0.05764359712248747
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.008555370989047795,,0.007666605036064038,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.01888489614422589,0.01692305804975767
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.0326821433030533,0.0326821433030533,0.04402956351121572,0.02300600906462809,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.07214168536221045,0.05078284652235479
"'market for electricity, high voltage' (kilowatt hour, BA, None)",,0.41266531716317173,,0.25878781529823996,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.9109063378931164,0.5712412730616504
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.012034327128180778,0.012034327128180778,0.009801296119432827,0.0052070268405924785,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.02656425048922733,0.011493851199517662
"'market for electricity, high voltage' (kilowatt hour, LU, None)",,0.21245538256958546,,0.23668820311670036,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.4689683054358061,0.522459182675352
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.22106986991907934,,0.1663566936407175,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.4879836934463553,0.3672112975958059
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.08978450267866389,0.08978450267866389,0.07743273377815056,0.04436295039575681,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.19818789981382845,0.09792558521983596
"'market for electricity, high voltage' (kilowatt hour, AR, None)",,0.002267727018197618,,0.001472183611085715,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.005005719714193661,0.0032496585637462236
"'market for electricity, high voltage' (kilowatt hour, DK, None)",,0.13805516639301382,,0.09756082877250577,10,_silicon_production__solar_grade__modified_Siemens_process___kilogram__RER__None_,209,477.96774673461914,1560,45.30271664567043,0.304739266461204,0.21535315317967724
