names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
"Electricity, gas, steam and air conditioning supply",,0.09233708781738242,,0.008234702395500892,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.07837705798649054,0.006989734703677405,245
"Waste collection, treatment, and disposal activities",,0.027219437948158225,,0.0017804509536828888,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.023104253305472673,0.0015112725659584489,43
Land transport and transport via pipelines,,0.12918543317032768,,0.01143883368726839,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.10965446740778205,0.009709447767921507,37
"Crop and animal production, hunting and related service activities",,0.05312260582787691,,0.0052509522068935905,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.04509123750577278,0.004457084312837886,34
Manufacture of chemicals and chemical products,,0.016712889346816966,,0.0013706803800237,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.014186142626112622,0.0011634533659814943,33
Manufacture of coke and refined petroleum products,,0.051568015357832224,,0.005911616394982653,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0437716785907579,0.005017865647872651,29
Manufacture of other non-metallic mineral products,,0.0015887177129398466,,0.00012919776375733334,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0013485266132446765,0.000109664933788687,27
"Wholesale trade, except of motor vehicles and motorcycles",,0.11821410824573184,,0.010005902274839017,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.10034184785122505,0.008493154823695701,25
Manufacture of basic metals,,0.035278651082695796,,0.002924262920471702,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.029945030181827963,0.0024821567357510795,14
Manufacture of machinery and equipment,,0.0010791333091708822,,7.933084065603511e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0009159839880949508,6.733716695194087e-05,7
Unknown,,0.010933945042362008,,0.0011438087851204752,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.009280890970929922,0.0009708814691464474,7
Civil engineering,,0.008648655633327288,,0.0005391523849668545,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.007341104209600974,0.00045764035599297863,6
Mining of coal and lignite,,0.010117166748810804,,0.001471890863737192,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.008587597721283832,0.0012493622909688364,6
Manufacture of rubber and plastic products,,0.0011621066069068262,,9.443264987993869e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.000986412925390894,8.015580142722036e-05,6
Construction of buildings,,0.0010215306233667242,,8.906218613159929e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0008670899937946435,7.559727398643287e-05,6
Mining of metal ores,,0.0021237654281436725,,0.0002334435583435903,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.001802682866071346,0.00019815027462263037,6
Manufacture of food products,,0.14623633769674166,,0.009745935919429592,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.12412752221574716,0.008272491614641957,4
Forestry and logging,,8.797563924096879e-05,,1.3332704032731504e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,7.46749972429816e-05,1.131699235692591e-05,3
Specialized construction activities,,8.628918352065904e-06,,9.911199007165457e-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,7.324350919298181e-06,8.412769317964349e-07,3
Manufacture of fabricated metal products,,7.667710071992823e-05,,7.151634075428965e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,6.508463404485301e-05,6.070410621316337e-06,3
Water transport,2.963936757023333e-06,1.1713363163388357e-05,1.542368920679314e-05,1.104119248261547e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,9.942472364835478e-06,9.37192415209622e-07,2
Manufacture of electrical equipment,1.4201456155994572e-06,9.06881387465481e-06,1.246887781504094e-05,1.0169418673731628e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,7.697740612398917e-06,8.631949912220638e-07,2
"Manufacture of motor vehicles, trailers, and semi-trailers",0.00023474193475313382,0.0002676807299369665,0.00021860433118336544,2.2325345496101913e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.00022721128192420916,1.8950076722985156e-05,2
Other mining and quarrying,,0.0015640523197765267,,0.00011997658065481251,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0013275902701574385,0.00010183785996803887,1
Manufacture of other transport equipment,-7.361780465053943e-05,7.44403766425155e-05,3.772301511739943e-05,3.955195739966743e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,6.318607024065477e-05,3.3572274498453158e-06,1
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.0017598407370969067,,0.00011339324873364114,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.0014937783155044122,9.624983244923261e-05,1
Sewerage,,0.0004762207558226502,,1.712337555678733e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.00040422307737602084,1.4534569268559163e-05,1
Extraction of crude petroleum and natural gas,,9.395568592457489e-05,,8.819177864417676e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,7.97509475113058e-05,7.48584595000099e-06,1
Manufacture of wood and products of wood and cork,,0.00014723597960294833,,1.7862482977040783e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,556,2774.696751356125,9000,117.8113726,0.00012497603274927666,1.5161934355597842e-05,1
