names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count
Manufacture of wood and products of wood and cork,,0.0013113930422403955,,0.00015596459928007156,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.0011131294146728204,0.000132385011597829,223
"Electricity, gas, steam and air conditioning supply",,0.06061665014093132,,0.005225554123223321,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.05145229089787494,0.004435526051432594,39
"Waste collection, treatment, and disposal activities",,0.03740008436273002,,0.002269420851636174,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.031745733486794145,0.0019263172998938256,34
"Crop and animal production, hunting and related service activities",,0.016030753305120417,,0.0016983204389755576,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.013607135670635942,0.0014415589951080475,29
Manufacture of chemicals and chemical products,,0.011581761004734308,,0.0009438307832493053,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.009830766545821832,0.0008011372437310057,23
"Wholesale trade, except of motor vehicles and motorcycles",,0.10131167316669665,,0.008844094326996241,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.08599481606132874,0.0075069954044455645,22
Manufacture of coke and refined petroleum products,,0.04133056741445549,,0.004976434222224942,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.03508198444880481,0.004224069470034289,22
Manufacture of machinery and equipment,,0.0006014143101783498,,4.575562841022877e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.0005104891802086938,3.883804033552935e-05,21
Unknown,,0.003079564464187539,,0.00033841334093479686,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.002613978936179154,0.00028725014696484135,13
Civil engineering,,0.0052916556372683745,,0.00028473838043834205,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.004491633974280998,0.00024169006281346225,8
Mining of coal and lignite,,0.004825320937574751,,0.0007467597419128679,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.004095802324583689,0.0006338604885356101,7
Manufacture of rubber and plastic products,,0.0005424463397025433,,4.82176365511079e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.00046043631249785067,4.092782851687775e-05,6
Manufacture of basic metals,,0.0292102331929991,,0.002267520921909614,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.024794069153387575,0.0019247046120143532,6
Manufacture of other non-metallic mineral products,,0.0007191532547580255,,6.20057901859693e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.0006104277022556526,5.263141309497764e-05,5
Construction of buildings,,0.00011768042354186972,,9.598661255916038e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,9.988884854217353e-05,8.147482746428878e-06,4
Land transport and transport via pipelines,,0.019989002402118563,,0.001978288768264722,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.016966954854168777,0.0016792001693941066,4
Mining of metal ores,,0.0017581797203181646,,0.00019613124076959176,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.001492368420396593,0.00016647903885774079,4
Manufacture of food products,,0.038103377920063485,,0.0025307071448104593,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.03234269924808896,0.002148100891246606,3
Forestry and logging,,5.136124783632058e-05,,6.625010384453964e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,4.359617132270012e-05,5.6234048023085035e-06,3
Specialized construction activities,,4.898116949154654e-06,,6.642808951457665e-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,4.157592633934437e-06,5.63851248385987e-07,2
Manufacture of fabricated metal products,,5.684226400474329e-05,,4.301303208545835e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,4.824853725941844e-05,3.65100848383277e-06,2
Water transport,3.065800932497725e-07,7.193384278755877e-06,9.638065831691772e-06,8.23243889196202e-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,6.105848798807627e-06,6.987813409078319e-07,2
Manufacture of electrical equipment,-3.905559970984742e-08,8.316398456880148e-06,1.1339199323444986e-05,8.435660736698287e-07,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,7.059079504248258e-06,7.160311055316817e-07,2
"Manufacture of motor vehicles, trailers, and semi-trailers",2.4796240981266427e-05,2.782099887115469e-05,2.2621576115523054e-05,2.222030108243227e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,2.3614866932765614e-05,1.886091350270226e-06,1
Other mining and quarrying,,0.0007410244822381364,,5.435948893555045e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.0006289923170270716,4.614112180843096e-05,1
Manufacture of other transport equipment,-2.1676099402352127e-05,2.1980068488282163e-05,1.2677777290665639e-05,1.2795331157955532e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,1.8657000596122555e-05,1.0860862474965795e-06,1
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.0020467017534731634,,4.747712587122272e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.0017372701024562745,4.029927232273221e-05,1
Sewerage,,0.0001441506806165088,,1.2328173909458087e-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,0.00012235718626752405,1.0464332633926114e-05,1
Extraction of crude petroleum and natural gas,,4.345681942563019e-05,,4.181675026993774e-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,5,490,2589.1317875385284,9000,117.8113726,3.688677796258033e-05,3.549466350071006e-06,1
